,Contest Title,Party,Candidate,ABSENTEE,BARNWELL VFD,BAY MINETTE CIVIC CENTER,BELFOREST COMM CTR,BON SECOUR MORGAN CHAPEL,BROMLEY VFD SUBST,CLEAR SPG FELLOWSHIP,CROSSROADS DURANT,DAPHNE CIVIC CENTER,DAPHNE HIGH SCHOOL,"DOUGLASVILLE, BOYKIN CTR",ELBERTA CIVIC CENTER,ELLISVILLE COMM CENTER,ELSANOR COMMUNITY,FAIRHOPE - 3 CIRCLE CHURCH,FAIRHOPE CIVIC CENTER,FOLEY CIVIC CENTER,FT_ MORGAN VFD #1,GATESWOOD VFD,GULF SHORES CIVIC CENTER,JOSEPHINE VFD,LILLIAN COMMUNITY,LITTLE RIVER VFD,LOTTIE VFD,LOXLEY TOWN HALL,MAG SPGS WESLEYAN CH,MARLOW VFD,MIFLIN COMMUNITY CTR,NEW LIFE ASSEMBLY OF GOD,ORANGE BEACH COMM,PERDIDO BEACH VFD,PERDIDO VOL FIRE DEPT,PINEGROVE VFD #1,PROVISIONAL,PT CLEAR ST FRANCIS,RABUN VFD,ROBERTSDALE CITY HALL,ROSINTON METHODIST,SEMINOLE VFD,SILVERHILL COMMUNITY CENTER,SPANISH FORT CHURCH OF CHRIST,SPANISH FORT COMMUNITY CENTER,STAPLETON VFD,STOCKTON CIVIC BUILDING,SUMMERDALE COMM_,TENSAW VFD,VAUGHN COMM CENTER,WHITEHOUSE FORK VFD
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,2745.0,5977.0,2342.0,2083.0,1230.0,196.0,830.0,15404.0,3818.0,931.0,2666.0,762.0,1526.0,8823.0,11823.0,10058.0,678.0,334.0,10088.0,721.0,4838.0,230.0,265.0,1666.0,4693.0,2759.0,3328.0,5779.0,7859.0,880.0,1006.0,1555.0,0,1801.0,806.0,4613.0,2129.0,919.0,3507.0,2922.0,5050.0,1529.0,636.0,2947.0,222.0,576.0,1271.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,4568,1802.0,3577.0,1611.0,1223.0,858.0,147.0,563.0,9651.0,2351.0,430.0,1665.0,503.0,959.0,5682.0,7474.0,5515.0,402.0,247.0,5762.0,471.0,3078.0,153.0,175.0,1065.0,2937.0,1778.0,2132.0,3670.0,4360.0,594.0,663.0,952.0,602,1243.0,552.0,2719.0,1426.0,583.0,2238.0,1796.0,3340.0,1027.0,446.0,1859.0,141.0,360.0,879.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,422,116.0,512.0,85.0,93.0,131.0,6.0,100.0,1672.0,251.0,325.0,105.0,129.0,33.0,398.0,955.0,822.0,36.0,5.0,451.0,22.0,302.0,29.0,4.0,81.0,384.0,183.0,177.0,427.0,211.0,39.0,43.0,133.0,55,205.0,18.0,231.0,48.0,26.0,154.0,131.0,211.0,31.0,21.0,134.0,85.0,160.0,92.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,2205,893.0,1498.0,689.0,607.0,316.0,76.0,219.0,3329.0,894.0,15.0,726.0,186.0,491.0,2615.0,2661.0,2270.0,169.0,125.0,2600.0,241.0,1393.0,65.0,87.0,513.0,1234.0,826.0,1042.0,1541.0,2141.0,275.0,300.0,426.0,393,483.0,296.0,1204.0,690.0,309.0,1083.0,801.0,1378.0,504.0,191.0,887.0,19.0,79.0,441.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,1888,793.0,1566.0,837.0,523.0,410.0,65.0,244.0,4644.0,1206.0,89.0,834.0,188.0,424.0,2664.0,3857.0,2418.0,197.0,117.0,2708.0,208.0,1383.0,59.0,84.0,469.0,1317.0,769.0,912.0,1701.0,2004.0,280.0,320.0,393.0,0,554.0,237.0,1282.0,686.0,248.0,1001.0,863.0,1750.0,491.0,233.0,836.0,36.0,121.0,346.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,946,232.0,704.0,208.0,181.0,196.0,8.0,126.0,2782.0,514.0,395.0,210.0,173.0,62.0,881.0,2026.0,1270.0,79.0,13.0,977.0,51.0,538.0,34.0,11.0,141.0,612.0,298.0,345.0,758.0,534.0,85.0,74.0,185.0,49,345.0,38.0,385.0,115.0,51.0,290.0,283.0,529.0,64.0,26.0,223.0,96.0,192.0,123.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,3349,1508.0,2734.0,1326.0,994.0,621.0,139.0,414.0,6293.0,1662.0,23.0,1377.0,313.0,868.0,4500.0,5021.0,4016.0,305.0,231.0,4532.0,391.0,2438.0,116.0,156.0,871.0,2204.0,1400.0,1708.0,2693.0,3673.0,491.0,575.0,744.0,103,847.0,502.0,2225.0,1257.0,516.0,1852.0,1431.0,2626.0,921.0,412.0,1571.0,40.0,158.0,736.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,138,34.0,75.0,46.0,22.0,17.0,0.0,6.0,325.0,102.0,3.0,48.0,11.0,18.0,168.0,240.0,120.0,9.0,1.0,134.0,16.0,59.0,0.0,0.0,29.0,65.0,43.0,33.0,142.0,85.0,11.0,10.0,12.0,16,16.0,5.0,64.0,34.0,7.0,66.0,43.0,102.0,26.0,3.0,42.0,0.0,7.0,11.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,13,5.0,17.0,4.0,2.0,0.0,0.0,8.0,55.0,23.0,0.0,8.0,1.0,1.0,26.0,36.0,26.0,1.0,0.0,42.0,6.0,13.0,1.0,0.0,8.0,17.0,10.0,12.0,21.0,12.0,3.0,0.0,3.0,3,4.0,3.0,12.0,8.0,4.0,9.0,10.0,16.0,4.0,0.0,6.0,0.0,2.0,1.0
