,Contest Title,Party,Candidate,ABSENTEE,BAKERHILL TOWN HALL,BEVILL CENTER,BLUE SPRINGS CITY HALL,CLAYTON COURTHOUSE,CLIO CITY HALL,ELAMVILLE VOL_ FIRE,EUFAULA COMMUNITY CENTER,EUFAULA WATER BOARD,FELLOWSHIP BAPTIST,GREENS CROSSROADS,LOUISVILLE CITY HALL,MCCOO SCHOOL,MT_ ANDREW COMMUNITY CTR_,PROVISIONAL,SANFORD AVENUE GYM,SPRINGHILL VFD,TEXASVILLE COMMUNITY CTR_
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,673.0,1764.0,365.0,1568.0,856.0,397.0,1907.0,1519.0,1732.0,224.0,957.0,2203.0,257.0,0,1654.0,586.0,436.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,683,395.0,1015.0,250.0,863.0,487.0,258.0,1157.0,787.0,1099.0,131.0,555.0,1089.0,157.0,46,940.0,357.0,275.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,305,122.0,144.0,21.0,469.0,187.0,52.0,400.0,397.0,223.0,44.0,270.0,685.0,125.0,19,364.0,179.0,54.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,147,101.0,318.0,73.0,91.0,75.0,48.0,229.0,113.0,287.0,18.0,56.0,121.0,17.0,13,149.0,52.0,75.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,230,172.0,553.0,156.0,303.0,225.0,158.0,528.0,277.0,585.0,69.0,228.0,283.0,15.0,14,427.0,126.0,146.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,353,152.0,197.0,38.0,542.0,233.0,65.0,472.0,486.0,284.0,54.0,318.0,772.0,127.0,23,467.0,218.0,70.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,316,240.0,783.0,209.0,306.0,244.0,190.0,665.0,289.0,792.0,73.0,233.0,284.0,25.0,23,448.0,130.0,204.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,4,2.0,17.0,1.0,4.0,2.0,0.0,9.0,5.0,13.0,2.0,2.0,12.0,3.0,0,12.0,5.0,0.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0,0.0,4.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0,3.0,0.0,0.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,3,1.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0,7.0,4.0,1.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1,0.0,4.0,2.0,6.0,2.0,2.0,3.0,1.0,8.0,2.0,0.0,11.0,1.0,0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,6,0.0,5.0,0.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,4.0,1.0,0,3.0,0.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,346,149.0,212.0,35.0,517.0,221.0,64.0,466.0,465.0,305.0,54.0,310.0,752.0,128.0,20,457.0,208.0,68.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,319,227.0,782.0,199.0,311.0,230.0,178.0,668.0,305.0,767.0,68.0,226.0,307.0,26.0,25,467.0,139.0,192.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0,2.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,18,19.0,18.0,15.0,32.0,33.0,15.0,21.0,17.0,25.0,7.0,19.0,24.0,3.0,1,14.0,10.0,15.0
18,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",DEM,Nathan Mathis                         ,370,177.0,284.0,73.0,577.0,265.0,86.0,518.0,475.0,364.0,65.0,351.0,759.0,129.0,19,475.0,216.0,94.0
19,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",REP,Martha Roby                           ,275,179.0,629.0,131.0,210.0,136.0,100.0,557.0,268.0,593.0,55.0,159.0,270.0,24.0,24,411.0,121.0,144.0
20,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",NON,Write-In                              ,7,14.0,57.0,32.0,32.0,36.0,51.0,40.0,19.0,74.0,1.0,20.0,26.0,1.0,1,30.0,4.0,18.0
21,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,0.0,0,0.0,1.0,0.0
22,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Under Votes                           ,31,25.0,43.0,13.0,43.0,48.0,21.0,41.0,25.0,64.0,9.0,25.0,28.0,3.0,2,24.0,15.0,19.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",300,221.0,760.0,172.0,276.0,207.0,144.0,649.0,310.0,750.0,61.0,196.0,321.0,31.0,23,483.0,139.0,179.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,0,8.0,9.0,4.0,23.0,9.0,1.0,11.0,19.0,19.0,1.0,11.0,30.0,5.0,0,28.0,8.0,2.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,382,166.0,246.0,74.0,564.0,271.0,113.0,497.0,458.0,330.0,69.0,348.0,738.0,121.0,23,429.0,210.0,93.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,297,218.0,756.0,174.0,276.0,207.0,143.0,651.0,310.0,752.0,61.0,198.0,321.0,31.0,22,484.0,143.0,176.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,1,6.0,8.0,3.0,25.0,6.0,1.0,12.0,19.0,19.0,1.0,11.0,29.0,4.0,0,26.0,8.0,2.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,385,171.0,250.0,73.0,562.0,274.0,114.0,494.0,458.0,328.0,69.0,346.0,739.0,122.0,24,430.0,206.0,97.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,296,215.0,752.0,175.0,275.0,205.0,145.0,644.0,311.0,749.0,62.0,201.0,320.0,30.0,22,475.0,140.0,174.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,0,9.0,9.0,3.0,23.0,6.0,1.0,15.0,18.0,20.0,1.0,11.0,27.0,4.0,0,28.0,8.0,3.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,387,171.0,254.0,72.0,564.0,276.0,112.0,498.0,458.0,330.0,68.0,343.0,742.0,123.0,24,437.0,209.0,98.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,304,213.0,747.0,181.0,268.0,202.0,156.0,645.0,308.0,742.0,61.0,201.0,333.0,29.0,24,475.0,144.0,176.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,2,8.0,8.0,2.0,22.0,8.0,2.0,15.0,17.0,19.0,3.0,13.0,20.0,4.0,0,22.0,8.0,3.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,377,174.0,259.0,67.0,573.0,277.0,100.0,497.0,462.0,338.0,67.0,341.0,736.0,124.0,22,443.0,205.0,96.0
39,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",DEM,Burt Smithart                         ,465,265.0,570.0,126.0,675.0,322.0,116.0,788.0,605.0,696.0,90.0,437.0,890.0,141.0,30,705.0,279.0,153.0
40,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",NON,Write-In                              ,7,2.0,22.0,4.0,19.0,4.0,1.0,13.0,11.0,20.0,1.0,5.0,10.0,0.0,2,14.0,5.0,9.0
41,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,1.0
42,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",   ,Under Votes                           ,211,128.0,422.0,120.0,169.0,161.0,141.0,356.0,170.0,383.0,40.0,113.0,186.0,16.0,14,221.0,73.0,112.0
43,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",DEM,Ben Reeves                            ,467,254.0,582.0,119.0,646.0,319.0,109.0,795.0,609.0,702.0,88.0,425.0,890.0,140.0,33,712.0,276.0,147.0
44,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,4,3.0,19.0,3.0,17.0,6.0,2.0,20.0,10.0,15.0,1.0,5.0,14.0,0.0,1,14.0,4.0,4.0
45,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0
46,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,212,138.0,414.0,128.0,199.0,162.0,147.0,342.0,168.0,381.0,42.0,125.0,185.0,17.0,12,214.0,77.0,123.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,314,168.0,522.0,111.0,447.0,193.0,128.0,680.0,475.0,580.0,65.0,311.0,662.0,104.0,28,556.0,171.0,116.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,71,80.0,210.0,44.0,130.0,86.0,55.0,206.0,96.0,200.0,29.0,63.0,136.0,13.0,5,169.0,62.0,38.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,298,146.0,283.0,95.0,286.0,207.0,75.0,270.0,216.0,318.0,37.0,181.0,291.0,40.0,13,215.0,124.0,121.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,499,241.0,710.0,186.0,596.0,278.0,173.0,879.0,580.0,793.0,92.0,365.0,768.0,110.0,29,693.0,216.0,173.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,56,64.0,160.0,31.0,76.0,73.0,33.0,147.0,68.0,133.0,17.0,71.0,105.0,13.0,7,100.0,37.0,28.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,128,90.0,145.0,33.0,190.0,136.0,51.0,131.0,139.0,172.0,22.0,119.0,215.0,34.0,10,147.0,103.0,74.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,317,105.0,355.0,85.0,256.0,146.0,85.0,453.0,251.0,416.0,43.0,135.0,360.0,35.0,15,368.0,85.0,83.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,112,124.0,316.0,64.0,307.0,130.0,84.0,369.0,291.0,316.0,37.0,208.0,390.0,72.0,12,299.0,112.0,66.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0.0,0.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,254,166.0,344.0,101.0,299.0,211.0,89.0,334.0,245.0,367.0,51.0,212.0,338.0,49.0,19,272.0,160.0,126.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,346,144.0,471.0,94.0,414.0,168.0,119.0,625.0,422.0,528.0,52.0,268.0,627.0,88.0,27,526.0,149.0,89.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,98,95.0,247.0,57.0,175.0,110.0,64.0,255.0,130.0,246.0,37.0,104.0,148.0,24.0,5,177.0,76.0,70.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0.0,1.0,0.0
