,Contest Title,Party,Candidate,ABERFOIL,ABSENTEE,CORINTH,CORNERSTONE,FITZPATRICK,GUERRYTON/SEHOY PLANT RD,INDIAN CREEK,INVERNESS,MIDWAY,PEACHBURG,PEROTE,POST OAK,PROVISIONAL,SARDIS,THOMPSON,THREE NOTCH US HWY 82 E,UNION SPRINGS ARMORY
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,207,323,52,272,225,76,113,96,484,103,125,272,0.0,125,107,132,2029
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,112,225,11,150,57,68,59,29,372,58,45,62,0.0,93,67,92,1418
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,22,15,10,16,44,1,6,11,11,3,21,41,0.0,3,4,3,65
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,2
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,73,83,31,106,124,7,48,56,100,42,59,169,0.0,28,36,37,544
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,139,266,18,192,69,72,73,40,449,78,55,83,0.0,101,78,115,1702
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,67,48,34,76,148,4,39,53,27,21,68,187,0.0,22,29,16,300
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,0,4,0,3,4,0,0,1,0,1,0,1,0.0,0,0,1,7
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0,0,0,0,0,0,0,0,2,1,1,0,0.0,0,0,0,6
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,1,2,0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,3
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,1,0,1,2,0,1,1,3,2,0,1,0.0,1,0,0,5
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,0,2,0,0,1,0,0,1,2,0,1,0,0.0,1,0,0,6
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,128,259,13,185,68,71,68,35,420,74,51,87,0.0,95,75,107,1628
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,65,53,37,71,149,4,38,55,40,21,65,168,0.0,24,29,17,330
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0,1,0,3
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0,0,0,0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,14,11,1,16,8,1,6,6,21,8,8,17,0.0,6,2,8,68
18,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",DEM,Nathan Mathis                         ,142,267,18,197,78,72,71,46,426,78,60,114,0.0,98,74,111,1665
19,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",REP,Martha Roby                           ,50,41,28,54,119,2,29,37,31,18,55,115,0.0,18,24,13,254
20,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",NON,Write-In                              ,0,2,3,2,8,0,3,1,4,1,3,14,0.0,4,3,0,32
21,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0,0,0,1,0,2,0,0,0,0,1,0.0,0,0,0,1
22,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Under Votes                           ,15,13,3,19,19,2,8,12,23,6,7,28,0.0,5,6,8,77
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",58,49,36,81,139,5,37,46,78,21,54,146,0.0,21,34,23,370
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,6,1,1,4,3,0,3,1,8,4,4,1,0.0,0,1,2,48
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,143,273,15,187,83,71,73,49,398,78,67,125,0.0,104,72,107,1611
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,61,53,35,82,141,6,37,45,77,20,56,146,0.0,20,35,19,369
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,6,1,0,5,2,0,3,1,8,5,3,1,0.0,1,1,3,48
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,140,269,17,185,82,70,73,50,399,78,66,125,0.0,104,71,110,1612
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,59,50,34,79,139,6,35,42,78,20,56,142,0.0,20,33,20,362
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,6,2,1,5,3,0,3,1,6,5,5,1,0.0,1,1,3,47
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,142,271,17,188,83,70,75,53,400,78,64,128,0.0,104,73,109,1620
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,63,55,38,84,137,8,39,45,78,24,64,148,0.0,25,33,25,395
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,5,2,0,5,5,0,3,1,8,4,2,2,0.0,0,2,2,42
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,139,266,14,183,83,68,71,50,397,75,59,122,0.0,100,72,105,1592
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,153,276,25,202,101,72,78,51,444,85,71,117,0.0,104,88,112,1749
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,0,1,2,1,5,0,1,1,2,1,0,6,0.0,0,0,0,10
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,54,46,25,69,119,4,34,44,38,17,54,149,0.0,21,19,20,269
43,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",DEM,Burt Smithart                         ,169,290,35,227,147,70,93,71,442,87,89,154,0.0,109,97,119,1824
44,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",NON,Write-In                              ,0,1,1,1,3,1,0,1,2,1,0,4,0.0,0,1,0,11
45,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0
46,"CIRCUIT COURT JUDGE, 3RD JUDICIAL CIRCUIT, PLACE 1      ",   ,Under Votes                           ,38,32,16,44,75,5,20,24,39,15,36,114,0.0,16,9,13,194
47,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",DEM,Ben Reeves                            ,155,284,31,214,119,71,89,67,440,84,83,141,0.0,106,86,112,1786
48,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,0,1,1,1,2,0,0,1,2,2,0,5,0.0,0,1,0,9
49,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
50,"DISTRICT ATTORNEY, 3TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,52,38,20,56,104,5,24,28,42,17,42,126,0.0,19,20,20,234
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,114,107,22,97,110,51,56,38,301,58,60,107,0.0,47,44,62,1279
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,11,5,7,31,56,4,16,16,25,11,13,49,0.0,17,18,12,131
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,3
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,82,211,23,143,59,21,41,42,158,34,52,116,0.0,61,45,58,616
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,127,119,32,118,137,48,67,54,297,55,79,148,0.0,53,61,66,1295
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,11,10,5,26,44,5,9,10,28,15,12,37,0.0,11,11,14,169
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,1,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,3
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,69,193,15,128,44,23,37,32,157,33,34,87,0.0,61,35,52,562
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,59,49,20,52,54,22,44,30,147,29,38,64,0.0,18,26,28,488
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,57,61,9,60,98,29,21,18,154,34,25,64,0.0,37,36,37,833
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0,0,2,0,0,0,0,1,0,0,0,0.0,0,0,0,1
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,91,213,23,158,73,25,48,48,182,40,62,144,0.0,70,45,67,707
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,101,99,20,72,82,44,51,35,262,40,41,78,0.0,38,48,53,1148
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,22,17,13,48,77,6,17,16,40,25,26,60,0.0,16,15,14,210
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,84,207,19,152,66,26,45,45,182,38,58,134,0.0,71,44,65,670
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,56,45,17,56,67,15,44,31,161,42,40,60,0.0,24,28,42,489
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,62,54,13,58,89,34,21,17,147,25,27,68,0.0,30,24,23,836
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,5
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,89,224,22,158,68,27,48,48,176,36,58,144,0.0,71,55,67,699
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,51,34,20,54,47,12,37,28,147,34,36,65,0.0,18,32,38,467
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,65,65,8,61,96,38,24,23,158,26,26,61,0.0,31,29,26,845
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,1,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,91,223,24,157,82,26,52,45,177,43,63,146,0.0,76,46,68,717
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,38,36,10,39,41,11,23,26,90,23,27,36,0.0,16,26,23,393
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,66,54,11,56,72,37,33,17,206,30,27,47,0.0,33,16,35,845
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0,0,1,0,0,0,0,2,0,1,0,0.0,0,0,0,0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,103,233,31,176,112,28,57,53,186,50,70,189,0.0,76,65,74,791
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,45,49,18,70,89,13,25,31,113,45,40,94,0.0,27,36,32,510
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,74,61,10,53,74,37,38,19,196,19,31,50,0.0,28,15,35,813
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,88,213,24,149,62,26,50,46,174,39,54,128,0.0,70,56,65,704
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,26,36,12,44,43,16,16,22,78,22,18,42,0.0,20,22,28,377
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,81,51,7,53,74,32,43,21,215,31,35,51,0.0,29,20,30,840
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,2
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,100,236,33,175,107,28,54,53,190,50,72,179,0.0,76,65,74,810
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,67,73,12,62,60,39,22,29,202,35,20,43,0.0,35,29,39,954
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,36,18,8,30,57,10,35,14,91,25,36,48,0.0,14,13,20,244
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,104,232,32,180,108,27,56,53,191,43,69,181,0.0,76,65,73,831
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,68,82,11,74,62,42,25,27,214,36,27,64,0.0,34,32,39,1066
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,42,20,16,37,85,8,36,19,91,23,35,54,0.0,17,17,23,250
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,97,221,25,161,78,26,52,50,178,44,63,154,0.0,74,58,70,711
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,74,67,10,63,45,37,26,24,194,29,23,47,0.0,34,29,37,979
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,28,25,13,37,76,12,33,18,98,25,31,47,0.0,16,16,24,265
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,1
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,105,231,29,172,104,27,54,54,190,49,71,178,0.0,75,62,71,784
