,Contest Title,Party,Candidate,ABSENTEE,ARARAT,BARRYTOWN,BLADON SPRINGS,BOGUELOOSA,BRANCH,BUTLER,CHAPPELL HILL,CROMWELL,CROSSROADS,CULLOMBURG,GILBERTOWN,HALSELL,HURRICANE,INTERSECTION,ISNEY,LAVACA,LISMAN,LUSK,MELVIN,MT_ STERLING,PELHAM,PENNINGTON,PLEASANT VALLEY,PROVISIONAL,PUSHMATAHA,RIDERWOOD,ROCK SPRINGS,SILAS,SOUWILPA,TOOMEY,TOXEY,WOMACK HILL,YANTLEY
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,248.0,281.0,109.0,443.0,571.0,2210,331.0,251.0,199.0,299.0,570.0,104.0,65.0,121.0,64.0,307.0,486.0,265.0,201.0,254.0,168.0,612.0,277.0,0,216.0,218.0,128.0,541.0,107.0,241.0,544.0,137.0,422.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,378,158.0,208.0,75.0,288.0,320.0,1325,252.0,143.0,113.0,199.0,357.0,74.0,49.0,75.0,46.0,205.0,310.0,198.0,133.0,168.0,99.0,364.0,188.0,0,123.0,129.0,95.0,352.0,81.0,160.0,331.0,94.0,244.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,113,22.0,0.0,58.0,6.0,213.0,289,4.0,91.0,67.0,96.0,45.0,50.0,3.0,61.0,6.0,100.0,237.0,3.0,70.0,85.0,70.0,198.0,4.0,0,87.0,93.0,3.0,85.0,8.0,53.0,110.0,17.0,205.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,97,57.0,72.0,8.0,86.0,13.0,294,70.0,16.0,16.0,18.0,70.0,6.0,16.0,2.0,8.0,26.0,9.0,66.0,24.0,37.0,10.0,38.0,82.0,0,5.0,9.0,42.0,83.0,24.0,29.0,64.0,23.0,6.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,168,79.0,136.0,9.0,196.0,94.0,742,178.0,36.0,30.0,85.0,242.0,18.0,30.0,12.0,32.0,79.0,64.0,129.0,39.0,46.0,19.0,128.0,102.0,0,31.0,27.0,50.0,183.0,49.0,78.0,157.0,54.0,33.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,156,34.0,4.0,63.0,8.0,258.0,385,7.0,106.0,73.0,112.0,55.0,56.0,6.0,73.0,8.0,115.0,291.0,3.0,77.0,104.0,78.0,253.0,6.0,0,101.0,108.0,2.0,108.0,8.0,71.0,131.0,23.0,226.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,218,124.0,202.0,11.0,276.0,54.0,913,242.0,31.0,39.0,81.0,295.0,17.0,42.0,2.0,37.0,84.0,17.0,193.0,55.0,63.0,21.0,106.0,177.0,4,20.0,17.0,91.0,239.0,70.0,83.0,197.0,70.0,15.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,2,0.0,2.0,1.0,2.0,1.0,13,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1,1.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
