,Contest Title,Party,Candidate,ABEL VOTING HOUSE,ABSENTEE,BORDEN SPRINGS VOL_ FIRE,CHULAFINNEE MASONIC,EDWARDSVILLE COMM_,FRUITHURST CITY HALL,GREENS CHAPEL UMC,HEFLIN RECREATIONAL CTR_,HOPEWELL SCHOOL,MICAVILLE VFD,MUSCADINE VFD,OAK LEVEL PINEYWDS,PLAINVIEW COMMUNITY CTR_,PROVISIONAL,RANBURNE VFD,TURKEY HEAVEN VFD
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,170.0,262,131.0,764.0,326.0,305.0,191.0,1529.0,469.0,305.0,177.0,337.0,169.0,26,1118.0,366.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,3.0,11,6.0,66.0,10.0,17.0,4.0,160.0,15.0,3.0,6.0,9.0,5.0,0,31.0,20.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,90.0,113,53.0,304.0,140.0,146.0,65.0,603.0,195.0,143.0,72.0,143.0,82.0,15,540.0,142.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,76.0,137,71.0,394.0,175.0,142.0,122.0,766.0,259.0,159.0,99.0,184.0,82.0,11,547.0,204.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,6.0,35,21.0,119.0,15.0,34.0,18.0,241.0,27.0,10.0,15.0,27.0,12.0,0,61.0,43.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,162.0,224,106.0,625.0,300.0,265.0,166.0,1236.0,434.0,290.0,156.0,291.0,151.0,26,1025.0,307.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,1.0,1,1.0,8.0,3.0,5.0,6.0,18.0,5.0,4.0,3.0,9.0,5.0,0,12.0,9.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0.0,1,1.0,4.0,1.0,1.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0,0.0,2.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,0.0,0,0.0,3.0,2.0,0.0,0.0,13.0,0.0,1.0,2.0,3.0,1.0,0,8.0,2.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1.0,0,0.0,1.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,0.0,0,8.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,0.0,1,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0,4.0,3.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,6.0,46,21.0,127.0,27.0,43.0,22.0,282.0,37.0,20.0,20.0,31.0,14.0,1,96.0,54.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,158.0,205,107.0,617.0,283.0,250.0,164.0,1197.0,420.0,271.0,146.0,287.0,150.0,24,978.0,297.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,1.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,6.0,10,3.0,20.0,14.0,12.0,5.0,45.0,12.0,14.0,10.0,17.0,5.0,1,42.0,15.0
18,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",DEM,Jesse Smith                           ,6.0,33,21.0,123.0,30.0,35.0,16.0,257.0,32.0,20.0,19.0,35.0,14.0,1,79.0,48.0
19,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",REP,Mike Rogers                           ,160.0,221,109.0,625.0,281.0,256.0,167.0,1221.0,427.0,270.0,146.0,283.0,150.0,24,1001.0,303.0
