,Contest Title,Party,Candidate,ABSENTEE,ALLSBORO CUMBERLAND PRES_,BARTON FIRST BAPTIST,CAVE SPRINGS MIS_ BAPTIST,CHEROKEE LIONS DEN,COARMM,COLBERT HEIGHTS BAPTIST,COUNTY HIGHWAY DEPT_,EAST COLBERT SEN_ CTR,FIRST SOUTHERN BAPTIST CH,GATMAN PARK & REC_ CTR_,GRACE LIFE CHURCH,HATTON BAPTIST CHURCH,HOPE HAVEN SCHOOL,LA GRANGE FIRE DEPT,LEIGHTON CITY HALL,LEIGHTON CIVIC CTR,LITTLEVILLE CITY HALL,MARGERUM COMMUNITY CH,MUSCLE SHOALS CITY HALL,MYNOT BAPTIST CHURCH,NEW BETHEL FIRE DEPT,PARKVIEW BAPTIST CHURCH,PLUMBER STEAMFITTER UNION,PRIDE MISSIONARY BAPTIST,PROVISIONAL,SHEFF BOARD OF ED BLDG_,SHEFFIELD FIRE STN 2ND ST,SHEFFIELD MICHAEL CENTER,SHEFFIELD RECREATION CTR,SPRING VALLEY CHURCH GOD,SRYGLEY CHURCH OF CHRIST,TREE HOUSE SCHOOL,TUSCUMBIA CALVARY BAPTIST,TUSCUMBIA MULTI-PURPOSE,WESTSIDE BAPTIST,WOODWARD AVE_ BAPTIST CH
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,161.0,777.0,233.0,1423.0,533.0,1663.0,1337.0,1894.0,1174.0,1623.0,2305.0,1312.0,1422.0,713.0,446.0,1041.0,1342.0,448.0,2081.0,117.0,978.0,1775.0,1031.0,963.0,0,693.0,1317.0,1066.0,1378.0,675.0,215.0,1126.0,921.0,1572.0,792.0,1796.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,945,94.0,480.0,172.0,860.0,232.0,1064.0,864.0,1290.0,897.0,1108.0,1524.0,805.0,947.0,441.0,293.0,621.0,766.0,280.0,1342.0,77.0,598.0,1037.0,629.0,597.0,51,432.0,676.0,581.0,849.0,430.0,145.0,791.0,458.0,987.0,535.0,1176.0
2,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,285,23.0,180.0,141.0,244.0,102.0,146.0,132.0,266.0,121.0,287.0,468.0,357.0,165.0,68.0,199.0,220.0,101.0,52.0,351.0,4.0,90.0,552.0,226.0,120.0,16,132.0,341.0,500.0,221.0,67.0,24.0,195.0,135.0,340.0,120.0,321.0
3,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,620,64.0,286.0,28.0,573.0,116.0,876.0,713.0,968.0,749.0,786.0,989.0,414.0,749.0,357.0,87.0,377.0,632.0,220.0,922.0,65.0,490.0,442.0,381.0,455.0,28,273.0,310.0,69.0,580.0,351.0,117.0,561.0,295.0,596.0,399.0,808.0
4,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,15,1.0,3.0,1.0,29.0,6.0,27.0,9.0,32.0,19.0,22.0,31.0,16.0,17.0,7.0,2.0,10.0,19.0,4.0,35.0,2.0,11.0,18.0,11.0,10.0,5,15.0,17.0,6.0,27.0,6.0,2.0,17.0,14.0,21.0,4.0,20.0
5,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,2,2.0,0.0,0.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,8.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,4.0,1.0,7.0,1,5.0,4.0,2.0,8.0,1.0,0.0,4.0,4.0,9.0,3.0,5.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,13,2.0,6.0,1.0,3.0,0.0,5.0,3.0,15.0,6.0,9.0,16.0,9.0,9.0,3.0,1.0,4.0,5.0,2.0,22.0,1.0,2.0,10.0,6.0,3.0,1,6.0,4.0,4.0,12.0,4.0,1.0,8.0,8.0,14.0,5.0,16.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,3,1.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,3.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,7,1.0,1.0,1.0,5.0,3.0,6.0,3.0,6.0,0.0,1.0,10.0,2.0,5.0,2.0,4.0,4.0,3.0,0.0,6.0,4.0,5.0,8.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,4.0,2.0,4.0
9,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,325,22.0,190.0,140.0,293.0,109.0,234.0,172.0,349.0,158.0,321.0,531.0,392.0,226.0,101.0,205.0,254.0,153.0,58.0,396.0,7.0,136.0,578.0,244.0,154.0,20,147.0,364.0,498.0,262.0,101.0,29.0,244.0,158.0,375.0,139.0,358.0
