,Contest Title,Party,Candidate,2ND MOUNT ZION CHURCH,ABSENTEE,ANNEX VOTING HOUSE,ANTIOCH VOTING HSE/FIRE DEPT,BELLEVILLE FIRE DEPT,BERMUDA COMMUNTIY CTR,BROOKLYN MASONIC LODGE,BROWNVILLE FIRE DEPT,CARVER RECREATION,CASTLEBERRY FIRE DEPT,DAVID BURT BUILDING,FLAT ROCK FIRE DEPT,HEALTH DEPARTMENT,HERBERT FIRE,JOHNSVILLE FIRE DEPT,LENOX COMMUNITY HSE,LITTLE ZION CHURCH,LYEFFION FIRE DEPT,NAZARENE BAPTIST CHURCH,OLD CASTLEBERRY NUTRITION,OLD FIELD CHURCH,PAUL FIRE DEPT,PROVISIONAL,RANGE FIRE DEPT,REPTON TOWN HALL,ROBINSONS MILL VOTING HSE,SANDCUTT FIRE DEPT,SKINNERTON FIRE DEPT,WOOTEN VOTING HSE
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,93.0,324,119.0,248.0,454.0,195.0,72.0,217.0,663.0,197.0,674.0,91.0,289.0,119.0,117.0,186.0,134.0,259.0,228.0,347.0,239.0,120.0,11,137.0,388.0,180.0,247.0,60.0,232.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,49.0,174,72.0,13.0,312.0,35.0,15.0,74.0,498.0,137.0,157.0,7.0,192.0,23.0,103.0,5.0,70.0,51.0,130.0,31.0,144.0,42.0,0,5.0,129.0,91.0,8.0,16.0,125.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,7.0,43,23.0,79.0,54.0,46.0,26.0,55.0,48.0,36.0,156.0,22.0,23.0,34.0,5.0,51.0,17.0,72.0,40.0,65.0,32.0,29.0,0,51.0,80.0,34.0,76.0,11.0,46.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,37.0,100,24.0,156.0,88.0,114.0,31.0,88.0,116.0,24.0,361.0,62.0,72.0,62.0,9.0,130.0,47.0,136.0,58.0,251.0,63.0,49.0,0,81.0,178.0,55.0,163.0,33.0,61.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,64.0,211,80.0,23.0,348.0,43.0,20.0,82.0,537.0,142.0,189.0,10.0,211.0,27.0,108.0,9.0,73.0,56.0,152.0,44.0,156.0,49.0,6,9.0,163.0,104.0,13.0,16.0,135.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,25.0,107,39.0,213.0,105.0,145.0,50.0,133.0,115.0,55.0,468.0,75.0,73.0,87.0,8.0,172.0,57.0,201.0,71.0,293.0,79.0,67.0,5,127.0,209.0,71.0,231.0,44.0,95.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,1.0,1,0.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,0,0.0,6.0,4.0,3.0,0.0,0.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,2.0,0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0.0,0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,1.0,3,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0,1.0,2.0,1.0,0.0,0.0,2.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,57.0,205,72.0,26.0,334.0,41.0,19.0,80.0,512.0,140.0,194.0,12.0,204.0,31.0,108.0,11.0,68.0,63.0,135.0,54.0,155.0,45.0,4,12.0,167.0,98.0,10.0,16.0,133.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,26.0,105,39.0,209.0,104.0,147.0,50.0,130.0,123.0,53.0,440.0,75.0,72.0,84.0,7.0,162.0,61.0,178.0,74.0,268.0,71.0,68.0,7,120.0,208.0,72.0,224.0,39.0,82.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,9.0,14,8.0,13.0,16.0,5.0,3.0,6.0,27.0,3.0,38.0,4.0,12.0,4.0,2.0,13.0,5.0,18.0,19.0,23.0,13.0,7.0,0,5.0,12.0,9.0,13.0,5.0,17.0
18,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",DEM,Nathan Mathis                         ,60.0,209,74.0,53.0,337.0,53.0,20.0,89.0,525.0,141.0,206.0,19.0,215.0,36.0,108.0,23.0,78.0,73.0,139.0,66.0,157.0,50.0,5,20.0,171.0,101.0,23.0,23.0,135.0
19,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",REP,Martha Roby                           ,21.0,99,36.0,171.0,95.0,120.0,50.0,107.0,103.0,51.0,394.0,64.0,56.0,73.0,7.0,146.0,45.0,161.0,62.0,230.0,65.0,61.0,6,107.0,193.0,65.0,192.0,31.0,78.0
20,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",NON,Write-In                              ,0.0,0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,0,0.0,1.0,3.0,4.0,0.0,2.0
21,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
22,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Under Votes                           ,12.0,16,8.0,17.0,22.0,21.0,1.0,19.0,34.0,4.0,71.0,8.0,15.0,5.0,2.0,17.0,11.0,22.0,24.0,47.0,15.0,8.0,0,10.0,22.0,11.0,28.0,6.0,17.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",24.0,102,36.0,192.0,110.0,114.0,46.0,108.0,119.0,52.0,355.0,45.0,63.0,79.0,9.0,132.0,46.0,149.0,69.0,224.0,67.0,59.0,8,107.0,221.0,75.0,187.0,31.0,74.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,1.0,9,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,0,1.0,3.0,3.0,1.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,68.0,213,83.0,56.0,342.0,79.0,26.0,106.0,542.0,144.0,317.0,46.0,224.0,40.0,108.0,54.0,87.0,109.0,157.0,121.0,171.0,58.0,3,29.0,164.0,102.0,58.0,29.0,158.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,23.0,101,36.0,193.0,104.0,111.0,45.0,111.0,121.0,52.0,355.0,43.0,62.0,78.0,9.0,128.0,46.0,148.0,70.0,227.0,67.0,60.0,8,105.0,223.0,74.0,188.0,30.0,71.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,1.0,9,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0,1.0,2.0,2.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,69.0,214,83.0,55.0,347.0,82.0,27.0,104.0,542.0,144.0,317.0,48.0,224.0,41.0,108.0,58.0,87.0,111.0,156.0,118.0,170.0,58.0,3,31.0,163.0,104.0,58.0,30.0,161.0
