,Contest Title,Party,Candidate,ABSENTEE,ANDALUSIA KIWANIS FAIR BD,BABBIE  FIRE,BEULAH VOTING HOUSE,BLUE SPRINGS HORN HILL,BUCK CREEK FIRE,CAROLINA CITY HALL,FLORALA OLD NATL GUARD,GANTT CITY HALL,HARMONY,HEATH CITY HALL,HOPEWELL,LIBERTYVILLE CITY HALL,LOANGO FIRE DEPARTMENT,LOCKHART CITY HALL,MARVIN ODOMS PLACE,OPP SENIOR ACTIVITY CTR,PLEASANT HOME/CATOE'S,PROVSIONAL,RED LEVEL FIRE DEPARTMENT,RED OAK,RIVER FALLS CITY HALL,ROSE HILL COMMUNITY CTR,SANFORD CITY HALL,STRAUGHN (AG BUILDING),UNION GROVE FIRE,WING FIRE DEPARTMENT
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,6990,681,424,530,592,666,1585,940,568,652,361,352,440,698,211,4915,175,0,706,344,625,504,723,856,467,338
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,732,3910,469,283,352,363,476,834,599,340,431,236,252,259,388,132,2855,132,87,406,245,361,345,487,593,304,195
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,47,784,12,2,7,13,6,129,62,5,25,8,4,24,47,6,330,4,0,15,6,93,19,8,10,19,22
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,382,1156,155,110,134,137,191,333,207,117,174,103,106,90,138,48,882,56,0,169,82,104,114,193,212,95,103
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,302,1965,302,171,211,213,279,372,330,217,231,125,142,145,203,78,1642,72,0,222,157,164,212,286,371,190,70
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,86,1014,18,15,17,21,20,157,84,14,37,13,9,28,65,13,452,7,8,34,15,122,35,15,30,33,25
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,631,2773,441,264,327,339,454,656,502,319,384,216,238,223,310,112,2332,123,45,368,227,234,296,463,554,267,169
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,7,61,5,2,4,2,1,9,6,4,3,4,3,3,2,5,35,2,2,1,2,1,7,3,7,2,0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,13,2,0,0,1,0,2,1,0,1,0,2,0,3,2,8,0,0,0,0,0,0,0,0,0,0
