,Contest Title,Party,Candidate,ABSENTEE,ARGUTA COMMUNITY CTR_,ARITON CITY HALL,BERTHA VOTING HALL,CLAYHATCHEE COMM_ HOUSE,CLOPTON COMMUNITY HOUSE,DALEVILLE CULTURAL & CONV,ECHO FIRE/RESCUE COMM_,EWELL FIRE STATION,GRIMES COMMUNITY CTR_,LEVEL PLAINS COMM_ CENTER,MARLEY MILL FORESTRY,MIDLAND CITY VOTING HALL,NEWTON TOWN HALL,OZARK CIVIC CENTER,PINCKARD TOWN HALL,PROVISIONAL,ROCKY HD COMMUNITY HOUSE,ROCKY HEAD FT RUCKER ELEM,SKIPPERVILLE VOTING HALL,SYLVAN GROVE VOTING HALL
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,281.0,934.0,363.0,670.0,197.0,3380.0,1149.0,1650.0,1297.0,2766.0,1548.0,1749.0,1423.0,8970.0,1672.0,0,910.0,1089.0,902.0,242.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,828,194.0,581.0,255.0,446.0,147.0,1797.0,862.0,1063.0,730.0,1507.0,956.0,867.0,932.0,4929.0,1110.0,8,610.0,258.0,585.0,184.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,107,11.0,59.0,13.0,30.0,7.0,410.0,16.0,147.0,140.0,304.0,120.0,212.0,87.0,1165.0,92.0,1,20.0,55.0,51.0,11.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,307,42.0,143.0,71.0,153.0,39.0,513.0,231.0,309.0,232.0,499.0,260.0,213.0,255.0,1201.0,410.0,3,192.0,87.0,181.0,69.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,407,141.0,379.0,171.0,263.0,101.0,874.0,614.0,604.0,358.0,704.0,576.0,442.0,590.0,2560.0,608.0,0,398.0,116.0,353.0,104.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,180,18.0,82.0,22.0,53.0,16.0,566.0,47.0,195.0,179.0,410.0,184.0,282.0,125.0,1704.0,142.0,1,35.0,74.0,80.0,18.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,613,173.0,479.0,228.0,376.0,127.0,1147.0,801.0,841.0,530.0,1043.0,750.0,559.0,789.0,3039.0,939.0,7,557.0,154.0,491.0,165.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,22,2.0,7.0,3.0,8.0,2.0,49.0,9.0,9.0,9.0,28.0,10.0,17.0,10.0,111.0,20.0,0,8.0,20.0,6.0,0.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,1.0,1.0,0.0,3.0,0.0,9.0,0.0,2.0,7.0,9.0,1.0,3.0,2.0,15.0,3.0,0,0.0,3.0,2.0,0.0
