,Contest Title,Party,Candidate,ABSENTEE,BELOIT COMMUNITY CTR,BROAD STREET FIRE STATION,CAHABA ROAD FIRE STATION,CARLOWVILLE MINTER VFD,CHRISTIAN OUTREACH ALLNCE,DALLAS COUNTY COURTHOUSE,EASTEND FIRE STATION,GOOD HOPE CHURCH,GWC HOMES CTR,MARION JCT BLACKBELT EXP,MEMORIAL STADIUM,MT ZION CHURCH,NEW ST JOHNS MINISTRIES,OLD NATIONAL GUARD ARMORY,ORRVILLE COMMUNITY CTR,PLANTERSVILLE VFD,PROVISIONAL,QUEEN OF PEACE SCHOOL,RANGEDALE CTR,SAFFORD COMMUNITY CTR,SELMA MALL,SELMONT WATER WORKS,SHILOH SCHOOL BLDG,SUMMERFIELD VFD,TIPTON SCHOOL,TYLER COMMUNITY CTR,UNION NEW NATL GRD ARMORY,UNION OLD NATL GRD ARMORY,VALLEY GRANDE COMM CTR,WOODROW AVE FIRE STATION
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,857,120.0,576.0,1049.0,229.0,625.0,280.0,599.0,76.0,378.0,368.0,643.0,976.0,633.0,845.0,976.0,322.0,0.0,407.0,597.0,132.0,523.0,422.0,502.0,531.0,1672.0,264.0,789.0,1062.0,1538.0,915.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,427,102.0,466.0,534.0,137.0,422.0,117.0,524.0,18.0,298.0,203.0,138.0,463.0,525.0,231.0,695.0,103.0,0.0,299.0,493.0,68.0,405.0,294.0,305.0,93.0,1423.0,66.0,192.0,391.0,398.0,695.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,103,0.0,5.0,105.0,25.0,26.0,24.0,7.0,25.0,4.0,26.0,99.0,192.0,8.0,128.0,41.0,77.0,0.0,8.0,6.0,25.0,16.0,25.0,47.0,151.0,35.0,68.0,208.0,169.0,350.0,38.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,327,18.0,104.0,410.0,67.0,177.0,139.0,68.0,33.0,76.0,139.0,406.0,321.0,99.0,485.0,240.0,142.0,0.0,100.0,96.0,39.0,102.0,101.0,148.0,285.0,213.0,129.0,389.0,502.0,790.0,181.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,554,110.0,556.0,744.0,171.0,519.0,175.0,587.0,27.0,361.0,252.0,209.0,570.0,614.0,341.0,789.0,132.0,0.0,368.0,580.0,77.0,481.0,349.0,362.0,138.0,1577.0,77.0,245.0,486.0,538.0,837.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,299,10.0,8.0,289.0,58.0,93.0,99.0,8.0,49.0,4.0,114.0,409.0,400.0,11.0,485.0,177.0,182.0,0.0,38.0,6.0,54.0,33.0,64.0,124.0,382.0,78.0,182.0,532.0,554.0,974.0,68.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,1,0.0,4.0,7.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,13.0,3.0,2.0,5.0,3.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,4.0,8.0,0.0,4.0,11.0,4.0,2.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,11.0,2.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,5,0.0,6.0,4.0,0.0,2.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,3.0,7.0,6.0,0.0,0.0,0.0,6.0,0.0,4.0,5.0,14.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,3.0,4.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,539,106.0,523.0,724.0,165.0,483.0,165.0,558.0,22.0,340.0,247.0,212.0,541.0,573.0,348.0,762.0,128.0,0.0,365.0,565.0,72.0,450.0,334.0,353.0,126.0,1538.0,71.0,244.0,486.0,538.0,802.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,315,11.0,33.0,306.0,58.0,121.0,100.0,21.0,54.0,22.0,112.0,420.0,418.0,37.0,461.0,188.0,189.0,0.0,37.0,22.0,56.0,52.0,78.0,131.0,390.0,95.0,188.0,526.0,556.0,968.0,88.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,7,3.0,19.0,16.0,6.0,19.0,15.0,20.0,0.0,14.0,8.0,10.0,16.0,20.0,33.0,23.0,5.0,0.0,5.0,9.0,4.0,19.0,9.0,18.0,14.0,39.0,4.0,18.0,19.0,29.0,21.0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,643,117.0,556.0,871.0,181.0,565.0,220.0,574.0,39.0,360.0,298.0,410.0,693.0,611.0,528.0,862.0,201.0,0.0,377.0,586.0,91.0,486.0,369.0,403.0,256.0,1584.0,135.0,420.0,690.0,898.0,848.0
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,11,0.0,0.0,7.0,2.0,4.0,5.0,0.0,0.0,4.0,2.0,6.0,9.0,1.0,18.0,12.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,5.0,3.0,2.0,26.0,23.0,36.0,4.0
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,206,3.0,20.0,170.0,46.0,55.0,55.0,25.0,37.0,13.0,68.0,227.0,274.0,21.0,299.0,102.0,112.0,0.0,29.0,11.0,39.0,37.0,52.0,89.0,270.0,85.0,127.0,343.0,349.0,603.0,62.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",289,7.0,79.0,355.0,68.0,163.0,108.0,53.0,51.0,65.0,112.0,376.0,460.0,67.0,425.0,214.0,186.0,0.0,61.0,60.0,59.0,88.0,80.0,154.0,355.0,149.0,165.0,503.0,532.0,893.0,136.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,10,1.0,14.0,39.0,1.0,23.0,9.0,14.0,0.0,29.0,7.0,11.0,29.0,13.0,16.0,18.0,8.0,0.0,8.0,8.0,0.0,19.0,9.0,15.0,3.0,14.0,6.0,10.0,25.0,26.0,17.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,559,112.0,482.0,654.0,160.0,439.0,162.0,532.0,25.0,284.0,249.0,256.0,487.0,553.0,404.0,744.0,128.0,0.0,338.0,528.0,73.0,416.0,332.0,333.0,173.0,1509.0,93.0,276.0,505.0,618.0,761.0
