,Contest Title,Party,Candidate,1ST UNITED METHODIST,ABSENTEE,ALCO J_D_ JC MUSEUM,APPLETON VOL_ FIRE,ATMORE CITY HALL,ATMORE PUBLIC LIBRARY,BARNETTS CROSSROADS/ROBIN,BETHEL ROBERTS VOTING,BRADLEY VOL_ FIRE DEPT_,BREWTON CIVIC CENTER,CANOE CIVIC CLUB,COUNTY HWY_ DEPT_,DAMASCUS BOYKIN SCHOOL,DIXIE VOL_ FIRE DEPT_,EAST BREWTON SAIL SITE,FLOMATON COMMUNITY HOUSE,FLOMATON TOWN HALL,HUXFORD MASONIC LODGE,LITTLE ESCAMBIA VOTING,LITTLE ROCK STORE,McCALL SCHOOL,McCULLOUGH VOL_ FIRE DEPT,NEW ORDER MISSIONARY BAPT,NOKOMIS VOTING HOUSE,PINEVIEW VOTING HOUSE,POARCH SAIL CENTER,POLLARD TOWN HALL,PROVISIONAL,RIVERVIEW TOWN HALL,ROCK HILL RIDGE RD VFD,WALLACE METHODIST CHURCH
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,627.0,560,448.0,528.0,853.0,1198.0,134.0,91.0,70.0,2781.0,343.0,245.0,293.0,43.0,1098.0,407.0,453.0,232.0,366.0,125.0,650.0,319.0,1027.0,432.0,212.0,365.0,291.0,0.0,369.0,297.0,71.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,92.0,133,141.0,18.0,786.0,286.0,2.0,4.0,2.0,758.0,28.0,121.0,113.0,5.0,245.0,62.0,35.0,2.0,10.0,3.0,12.0,51.0,556.0,43.0,2.0,97.0,27.0,0.0,11.0,48.0,3.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,220.0,262,104.0,204.0,17.0,416.0,72.0,22.0,12.0,440.0,153.0,65.0,38.0,19.0,210.0,112.0,173.0,116.0,157.0,64.0,231.0,133.0,209.0,194.0,83.0,137.0,94.0,0.0,104.0,62.0,28.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,315.0,620,203.0,306.0,50.0,494.0,60.0,65.0,56.0,1582.0,162.0,59.0,142.0,19.0,643.0,233.0,245.0,114.0,198.0,58.0,407.0,135.0,262.0,195.0,127.0,131.0,169.0,0.0,254.0,187.0,40.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,135.0,212,198.0,40.0,819.0,346.0,5.0,7.0,3.0,1056.0,33.0,134.0,129.0,6.0,351.0,99.0,54.0,8.0,21.0,6.0,25.0,68.0,622.0,60.0,9.0,115.0,48.0,0.0,14.0,70.0,5.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,466.0,799,239.0,467.0,23.0,796.0,127.0,81.0,64.0,1630.0,295.0,110.0,162.0,37.0,719.0,295.0,393.0,218.0,338.0,118.0,617.0,248.0,390.0,359.0,198.0,238.0,231.0,0.0,344.0,217.0,63.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,18.0,15,4.0,9.0,2.0,18.0,1.0,1.0,1.0,39.0,10.0,1.0,1.0,0.0,16.0,7.0,6.0,3.0,5.0,1.0,5.0,2.0,5.0,7.0,5.0,4.0,3.0,0.0,2.0,3.0,1.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0.0,2,2.0,6.0,1.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,6.0,8,2.0,5.0,2.0,6.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,4.0,3.0,0.0,3.0,3.0,1.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0.0,0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,2.0,6,2.0,1.0,5.0,11.0,0.0,2.0,1.0,14.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,143.0,215,193.0,52.0,804.0,352.0,3.0,7.0,4.0,1025.0,41.0,124.0,128.0,8.0,351.0,96.0,57.0,6.0,17.0,7.0,40.0,65.0,623.0,71.0,14.0,112.0,57.0,0.0,26.0,69.0,7.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,470.0,779,236.0,461.0,28.0,805.0,127.0,79.0,56.0,1676.0,289.0,113.0,151.0,34.0,709.0,295.0,383.0,225.0,332.0,113.0,585.0,254.0,386.0,355.0,187.0,244.0,221.0,0.0,320.0,222.0,60.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0.0,6,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
