,Contest Title,Party,Candidate,1ST UNITED METH-ATTALLA,ABSENTEE,ALTOONA FIRE DEPTARTMENT,ATTALLA RECREATION CENTER,CARVER COMMUNITY CENTER,CAVE SPRINGS,EAST GADSDEN REC_ CTR,EGYPT COMMUNITY CENTER,ELLIOTT COMMUNITY CENTER,FORD'S VALLEY WATER,GADSDEN CONVENTION HALL,GALLANT COMMUNITY CENTER,GEORGE WALLACE SENIOR CTR,HOKES BLUFF COMMUNITY CTR,IVALEE VOL_ FIRE DEPT,LOOKOUT MTN_ COMM CTR,MEADOW BROOK BAPTIST CH,MOUNTAINBORO VFD,NEW UNION COMMUNITY CTR,NOCCALULA KIWANIS PAVIL_,NORTH GADSDEN REC_ CTR,NORTHEAST ETOWAH COMM CTR,OLD GADSDEN HIGH LUNCHROO,PROVISIONAL,RAINBOW CITY COMM CTR,RAINBOW CITY FIRE DEPT #2,REECE CITY TOWN HALL,SARDIS COMMUNITY CENTER,SOUTHSIDE COMMUNITY CTR_,TABERNACLE ACTIVITY CTR,TILLISON BEND WATER AUTH_,WALLACE HALL,WALNUT GROVE V_F_D_,WALNUT PARK REC_ CTR,WHORTON BEND FIRE STATION
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,1183.0,1556,527.0,1531.0,936.0,905.0,1380.0,367.0,1146.0,526.0,1352.0,478.0,2561.0,3369.0,443.0,1382.0,1502.0,999.0,1078.0,1852,975.0,1620.0,215.0,325,3557.0,723.0,484,1741.0,4520.0,345.0,574.0,1719.0,907.0,670.0,1008.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,384.0,289,33.0,133.0,813.0,90.0,885.0,33.0,260.0,52.0,604.0,18.0,168.0,195.0,33.0,70.0,121.0,49.0,51.0,183,390.0,227.0,148.0,67,411.0,50.0,25,93.0,254.0,57.0,37.0,1054.0,49.0,164.0,61.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,337.0,615,244.0,596.0,20.0,323.0,156.0,127.0,373.0,317.0,234.0,212.0,997.0,1331.0,189.0,563.0,493.0,454.0,474.0,616,201.0,615.0,22.0,110,1352.0,263.0,203,777.0,1723.0,148.0,220.0,227.0,384.0,202.0,412.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,2.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,1,2.0,0.0,0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,460.0,485,250.0,802.0,102.0,492.0,339.0,206.0,512.0,157.0,514.0,248.0,1395.0,1842.0,220.0,747.0,887.0,496.0,553.0,1053,383.0,778.0,45.0,0,1792.0,410.0,256,870.0,2541.0,140.0,317.0,438.0,473.0,302.0,535.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,466.0,428,52.0,210.0,896.0,139.0,1045.0,45.0,338.0,61.0,799.0,41.0,304.0,367.0,51.0,115.0,257.0,88.0,86.0,340,487.0,308.0,169.0,92,641.0,91.0,48,156.0,512.0,84.0,78.0,1252.0,77.0,198.0,121.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,669.0,1075,462.0,1262.0,28.0,730.0,299.0,312.0,751.0,458.0,481.0,428.0,2143.0,2909.0,374.0,1214.0,1170.0,884.0,960.0,1403,442.0,1264.0,39.0,219,2778.0,604.0,416,1524.0,3824.0,253.0,466.0,400.0,808.0,448.0,856.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,26.0,30,4.0,33.0,2.0,23.0,18.0,6.0,29.0,5.0,30.0,3.0,57.0,50.0,10.0,24.0,43.0,9.0,21.0,65,15.0,27.0,4.0,6,62.0,9.0,12,22.0,94.0,2.0,13.0,40.0,11.0,11.0,19.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,4.0,5,3.0,4.0,4.0,4.0,9.0,0.0,6.0,0.0,10.0,5.0,9.0,4.0,1.0,7.0,4.0,1.0,1.0,12,8.0,3.0,2.0,1,13.0,4.0,2,3.0,15.0,4.0,3.0,9.0,1.0,2.0,1.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,8.0,8,1.0,12.0,1.0,4.0,6.0,2.0,14.0,2.0,19.0,1.0,27.0,17.0,6.0,13.0,15.0,7.0,5.0,18,10.0,9.0,1.0,4,40.0,9.0,5,15.0,53.0,2.0,8.0,9.0,5.0,4.0,10.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,7.0,10,2.0,9.0,4.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,6.0,8.0,1.0,7.0,3.0,7.0,3.0,4,9.0,0.0,0.0,3,8.0,2.0,1,10.0,5.0,0.0,2.0,3.0,0.0,7.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,3.0,0,3.0,1.0,1.0,5.0,3.0,2.0,2.0,0.0,5.0,0.0,15.0,14.0,0.0,2.0,10.0,3.0,2.0,10,4.0,9.0,0.0,0,15.0,4.0,0,11.0,17.0,0.0,4.0,6.0,5.0,0.0,1.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,514.0,447,75.0,279.0,881.0,170.0,1031.0,63.0,368.0,73.0,825.0,64.0,436.0,515.0,69.0,178.0,299.0,126.0,138.0,458,510.0,377.0,170.0,101,766.0,116.0,70,217.0,673.0,92.0,108.0,1276.0,116.0,223.0,157.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,643.0,1068,439.0,1212.0,44.0,714.0,333.0,296.0,758.0,440.0,491.0,396.0,2069.0,2773.0,355.0,1166.0,1163.0,850.0,909.0,1337,447.0,1205.0,39.0,216,2718.0,583.0,406,1479.0,3744.0,244.0,453.0,419.0,774.0,431.0,827.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0.0,3,0.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,4.0,1.0,5.0,5.0,1.0,2.0,3.0,2.0,3.0,5,3.0,2.0,1.0,0,3.0,1.0,3,3.0,12.0,3.0,0.0,3.0,0.0,3.0,3.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,3.0,0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,1,0.0,0.0,1.0,1,4.0,2.0,0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,23.0,34,13.0,35.0,6.0,21.0,13.0,8.0,15.0,13.0,28.0,17.0,51.0,72.0,16.0,35.0,35.0,21.0,28.0,51,15.0,36.0,4.0,9,66.0,21.0,5,40.0,89.0,6.0,13.0,21.0,17.0,12.0,21.0
18,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",REP,Robert Aderholt                       ,743.0,1134,457.0,1310.0,138.0,750.0,473.0,297.0,861.0,446.0,633.0,414.0,2162.0,2863.0,379.0,1205.0,1219.0,881.0,956.0,1451,575.0,1297.0,59.0,234,2929.0,613.0,433,1532.0,3876.0,268.0,469.0,607.0,813.0,491.0,877.0
19,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,45.0,21,2.0,13.0,41.0,7.0,56.0,5.0,32.0,0.0,93.0,2.0,23.0,30.0,1.0,18.0,26.0,8.0,10.0,36,40.0,21.0,11.0,2,47.0,10.0,4,9.0,52.0,8.0,5.0,80.0,1.0,21.0,17.0
20,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,394.0,383,68.0,208.0,757.0,148.0,851.0,65.0,251.0,80.0,626.0,62.0,376.0,476.0,63.0,159.0,256.0,110.0,112.0,365,359.0,302.0,145.0,27,581.0,100.0,47,200.0,592.0,69.0,100.0,1031.0,93.0,158.0,114.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",715.0,1090,441.0,1257.0,120.0,727.0,446.0,278.0,824.0,436.0,604.0,387.0,2078.0,2755.0,363.0,1157.0,1169.0,832.0,914.0,1381,537.0,1233.0,53.0,227,2834.0,586.0,413,1463.0,3733.0,258.0,437.0,575.0,775.0,460.0,845.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,44.0,13,0.0,15.0,37.0,3.0,59.0,4.0,31.0,0.0,56.0,5.0,21.0,14.0,2.0,9.0,21.0,4.0,7.0,26,38.0,23.0,8.0,3,49.0,6.0,3,9.0,42.0,7.0,2.0,72.0,3.0,24.0,8.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,424.0,433,86.0,258.0,779.0,175.0,875.0,85.0,291.0,90.0,692.0,86.0,460.0,599.0,78.0,216.0,312.0,163.0,157.0,445,400.0,364.0,154.0,53,673.0,130.0,68,269.0,745.0,80.0,135.0,1071.0,129.0,186.0,155.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,715.0,1092,441.0,1243.0,119.0,722.0,446.0,285.0,825.0,437.0,606.0,384.0,2080.0,2749.0,364.0,1155.0,1165.0,832.0,913.0,1385,544.0,1233.0,54.0,232,2830.0,581.0,408,1453.0,3725.0,256.0,433.0,567.0,773.0,456.0,841.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,37.0,12,1.0,14.0,36.0,2.0,56.0,1.0,24.0,0.0,49.0,1.0,18.0,11.0,1.0,5.0,17.0,6.0,9.0,21,36.0,18.0,7.0,1,33.0,5.0,4,9.0,34.0,7.0,2.0,75.0,2.0,21.0,8.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,431.0,432,85.0,272.0,781.0,181.0,878.0,81.0,297.0,89.0,697.0,93.0,463.0,609.0,78.0,222.0,319.0,161.0,156.0,445,395.0,369.0,154.0,53,693.0,137.0,71,279.0,759.0,82.0,139.0,1076.0,132.0,193.0,159.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,712.0,1094,443.0,1262.0,120.0,726.0,446.0,281.0,825.0,434.0,608.0,387.0,2081.0,2752.0,365.0,1150.0,1158.0,835.0,913.0,1376,538.0,1239.0,53.0,230,2825.0,584.0,416,1462.0,3730.0,254.0,434.0,566.0,778.0,454.0,841.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,40.0,11,1.0,11.0,34.0,4.0,54.0,2.0,24.0,0.0,49.0,1.0,20.0,12.0,2.0,11.0,19.0,6.0,9.0,23,36.0,15.0,8.0,3,38.0,5.0,4,7.0,32.0,8.0,1.0,76.0,2.0,17.0,7.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,431.0,433,83.0,258.0,782.0,175.0,880.0,84.0,297.0,92.0,695.0,90.0,460.0,605.0,76.0,221.0,323.0,158.0,156.0,453,401.0,366.0,154.0,53,694.0,134.0,64,272.0,758.0,83.0,139.0,1076.0,127.0,198.0,160.0
