,Contest Title,Party,Candidate,ABSENTEE,BOLIGEE FIRE DEPT,BROWN MORROW BRANCH HGTS,CLINTON COMMUNITY CTR,EUTAW ACTIVITY CTR,FORKLAND CITY HALL,GREENE COUNTY COURTHOUSE,JENA FIRE DEPT,KNOXVILLE FIRE DEPT,MANTUA FIRE DEPT,MT HEBRON PRE-SCHOOL,NATIONAL GUARD ARMORY,PROVISIONAL,SOUTH FORK RESTAURANT,TISHABEE COMMUNITY CTR,UNION FIRE DEPT
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,249,330.0,458.0,261.0,488.0,734.0,196.0,109.0,185.0,203.0,259.0,859.0,0,68.0,242.0,255.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,177,251.0,401.0,183.0,410.0,475.0,151.0,41.0,134.0,166.0,227.0,468.0,0,57.0,209.0,193.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,8,23.0,14.0,28.0,6.0,63.0,14.0,26.0,20.0,16.0,7.0,117.0,0,1.0,9.0,19.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,65,56.0,43.0,50.0,72.0,194.0,31.0,41.0,31.0,21.0,25.0,274.0,0,10.0,24.0,43.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,226,281.0,434.0,195.0,461.0,556.0,171.0,55.0,148.0,179.0,247.0,557.0,6,61.0,226.0,209.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,21,46.0,24.0,60.0,16.0,164.0,24.0,53.0,35.0,23.0,12.0,293.0,0,6.0,15.0,46.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,2,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,1.0,0.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,217,269.0,415.0,190.0,434.0,531.0,159.0,45.0,143.0,176.0,236.0,535.0,4,58.0,219.0,202.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,22,49.0,32.0,68.0,37.0,169.0,33.0,55.0,37.0,21.0,16.0,305.0,0,9.0,17.0,48.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,10,12.0,11.0,3.0,17.0,32.0,4.0,8.0,4.0,5.0,7.0,17.0,2,1.0,6.0,5.0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,226,295.0,432.0,215.0,466.0,601.0,175.0,68.0,152.0,179.0,240.0,647.0,5,61.0,225.0,218.0
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,1,2.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0,0.0,2.0,5.0
