,Contest Title,Party,Candidate,ABSENTEE,AKRON CITY HALL,BUCKSNORT,GALLION VFD,GREENSBORO ARMORY,HAVANA,LOCK 5 VFD,MOUNDVILLE CITY HALL,MT HERMAN,MT HOREB BAPTIST CH,NEWBERN-OLD BANK BLDG,PHIPPS WORK CENTER,PROVISIONAL,SAWYERVILLE HEAD START SC,STEWART,VALLEY
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,271,460.0,153.0,311.0,2666,217.0,272.0,1564.0,224.0,265.0,360.0,26.0,0.0,763.0,275.0,153.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,233,246.0,45.0,133.0,1794,82.0,152.0,442.0,86.0,191.0,127.0,2.0,0.0,590.0,58.0,30.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,47,78.0,51.0,70.0,236,58.0,49.0,474.0,51.0,27.0,42.0,11.0,0.0,52.0,87.0,51.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,79,136.0,57.0,108.0,636,77.0,71.0,647.0,87.0,47.0,191.0,13.0,0.0,119.0,130.0,72.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,262,272.0,51.0,156.0,1936,102.0,166.0,547.0,93.0,206.0,219.0,3.0,0.0,647.0,79.0,33.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,92,182.0,101.0,147.0,691,111.0,105.0,986.0,127.0,57.0,135.0,23.0,0.0,106.0,189.0,120.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,5,4.0,0.0,4.0,15,1.0,0.0,11.0,3.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,1.0,0.0,0.0,1,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,1,0.0,0.0,4.0,11,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,0.0,1.0,0.0,3,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,1,1.0,0.0,0.0,9,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,248,268.0,49.0,154.0,1907,99.0,164.0,547.0,92.0,206.0,180.0,2.0,0.0,621.0,81.0,32.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,104,184.0,101.0,152.0,713,109.0,104.0,966.0,129.0,56.0,138.0,24.0,0.0,123.0,188.0,115.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,1,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,7,8.0,2.0,5.0,45,9.0,4.0,49.0,3.0,3.0,40.0,0.0,0.0,18.0,6.0,5.0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,275,334.0,65.0,204.0,2192,115.0,197.0,837.0,141.0,221.0,242.0,6.0,0.0,676.0,133.0,62.0
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,0,8.0,1.0,3.0,22,4.0,2.0,32.0,2.0,1.0,6.0,0.0,0.0,4.0,2.0,5.0
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,85,118.0,87.0,104.0,452,97.0,73.0,695.0,81.0,43.0,112.0,20.0,0.0,83.0,140.0,86.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",93,184.0,91.0,153.0,674,100.0,100.0,929.0,112.0,61.0,132.0,18.0,0.0,131.0,182.0,102.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,1,4.0,2.0,4.0,18,6.0,3.0,20.0,0.0,3.0,5.0,0.0,0.0,6.0,1.0,2.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,265,272.0,60.0,154.0,1974,111.0,169.0,615.0,112.0,201.0,223.0,8.0,0.0,626.0,92.0,49.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,95,182.0,90.0,152.0,668,102.0,98.0,923.0,111.0,63.0,132.0,17.0,0.0,125.0,182.0,101.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,1,4.0,2.0,3.0,12,6.0,3.0,19.0,0.0,3.0,5.0,0.0,0.0,5.0,1.0,3.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,263,274.0,61.0,156.0,1986,109.0,171.0,622.0,113.0,199.0,223.0,9.0,0.0,633.0,92.0,49.0
