,Contest Title,Party,Candidate,ABSENTEE,ANDREW BELLE COMM_ CTR,ASHFORD DEPOT,BAY SPRINGS VFD,COTTONWOOD CITY HALL,COWARTS TOWN HALL,DOTHAN 1ST ASSEMBLY CLC,DOUG TEW COMMUNITY CTR_,ENTERPRISE CHURCH,FARM CENTER,GORDON CITY HALL,HODGESVILLE VFD,KINSEY VFD,LIBRARY,LOVETOWN FIRE STATION,MADRID SR_ CENTER,PANSEY VFD,PROVISIONAL,REHOBETH MUNICIPAL COMPLX,ROSSIE PURCELL PUB LIBRAR,ST_ JOHNS PARK,TAYLOR CITY HALL,VAUGHN BLUMBERG CENTER,WALTON PARK,WATER AND ELECTRIC COMPLX,WEBB CITY HALL,WESTGATE PARK,WICKSBURG VFD,WIREGRASS PARK
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,1383.0,2246.0,1122.0,1897.0,2006.0,5127.0,5022.0,776.0,4262.0,500.0,2044.0,1307.0,5528.0,508.0,1020.0,655.0,0,2140.0,1268.0,547.0,2417.0,3549.0,3630.0,6456.0,1266.0,5137.0,1860.0,5919.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,3075,714.0,1428.0,795.0,1183.0,1267.0,3262.0,2595.0,528.0,2635.0,257.0,1257.0,765.0,2778.0,348.0,633.0,433.0,247,1412.0,768.0,327.0,1565.0,2173.0,1532.0,3992.0,747.0,3308.0,1285.0,2666.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,282,325.0,240.0,60.0,135.0,119.0,223.0,475.0,23.0,448.0,109.0,76.0,218.0,717.0,8.0,60.0,21.0,85,35.0,82.0,91.0,102.0,500.0,1222.0,339.0,96.0,214.0,34.0,1122.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,683,117.0,382.0,208.0,347.0,380.0,867.0,606.0,147.0,614.0,34.0,361.0,146.0,607.0,109.0,167.0,125.0,64,436.0,203.0,69.0,473.0,458.0,45.0,1058.0,223.0,844.0,377.0,461.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1,3.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,1044,269.0,806.0,526.0,701.0,768.0,2169.0,1513.0,357.0,1572.0,114.0,819.0,401.0,1454.0,231.0,406.0,287.0,103,941.0,483.0,167.0,989.0,1215.0,264.0,2593.0,428.0,2249.0,874.0,1081.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,447,388.0,318.0,105.0,198.0,171.0,532.0,741.0,45.0,668.0,154.0,110.0,291.0,957.0,19.0,91.0,32.0,104,76.0,123.0,122.0,185.0,691.0,1405.0,596.0,134.0,473.0,83.0,1405.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,1475,298.0,1080.0,675.0,957.0,1061.0,2589.0,1711.0,470.0,1880.0,93.0,1119.0,451.0,1693.0,320.0,532.0,388.0,139,1307.0,625.0,198.0,1326.0,1395.0,96.0,3241.0,590.0,2681.0,1162.0,1176.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,40,10.0,16.0,5.0,15.0,22.0,86.0,80.0,5.0,48.0,6.0,14.0,8.0,58.0,4.0,9.0,7.0,3,13.0,5.0,1.0,32.0,46.0,7.0,82.0,8.0,83.0,24.0,42.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,4,2.0,2.0,2.0,1.0,3.0,8.0,17.0,1.0,6.0,1.0,6.0,3.0,14.0,2.0,1.0,0.0,0,2.0,1.0,1.0,8.0,10.0,3.0,12.0,1.0,19.0,1.0,13.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,19,11.0,8.0,4.0,3.0,5.0,28.0,26.0,4.0,14.0,2.0,3.0,6.0,26.0,2.0,0.0,2.0,2,9.0,10.0,1.0,13.0,16.0,3.0,43.0,8.0,32.0,10.0,14.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,5,3.0,2.0,2.0,7.0,2.0,10.0,14.0,2.0,7.0,0.0,1.0,4.0,13.0,0.0,0.0,4.0,3,2.0,2.0,0.0,1.0,5.0,17.0,9.0,2.0,8.0,0.0,16.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,5,2.0,2.0,2.0,2.0,3.0,9.0,6.0,1.0,12.0,1.0,4.0,2.0,17.0,1.0,0.0,0.0,0,3.0,2.0,4.0,0.0,10.0,1.0,9.0,4.0,12.0,5.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,453,386.0,337.0,101.0,205.0,204.0,568.0,802.0,49.0,681.0,141.0,160.0,285.0,956.0,34.0,97.0,44.0,99,123.0,134.0,118.0,224.0,721.0,1385.0,693.0,152.0,545.0,110.0,1412.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,1479,311.0,1060.0,670.0,945.0,1027.0,2605.0,1716.0,458.0,1900.0,92.0,1062.0,447.0,1726.0,301.0,517.0,374.0,144,1253.0,604.0,189.0,1306.0,1396.0,126.0,3207.0,576.0,2667.0,1138.0,1198.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,8,4.0,3.0,3.0,6.0,3.0,10.0,8.0,0.0,2.0,0.0,1.0,2.0,8.0,1.0,2.0,2.0,0,3.0,1.0,0.0,2.0,5.0,2.0,13.0,3.0,14.0,4.0,10.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,4,0.0,0.0,1.0,3.0,1.0,4.0,6.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,3,1.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,5.0,0.0,3.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,56,13.0,28.0,20.0,24.0,32.0,75.0,63.0,21.0,49.0,24.0,33.0,28.0,85.0,12.0,16.0,13.0,4,32.0,29.0,20.0,29.0,49.0,18.0,76.0,16.0,77.0,33.0,43.0
18,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",DEM,Nathan Mathis                         ,605,399.0,501.0,199.0,379.0,388.0,743.0,990.0,122.0,936.0,160.0,313.0,351.0,1115.0,117.0,194.0,115.0,111,325.0,254.0,154.0,414.0,832.0,1361.0,1002.0,242.0,787.0,334.0,1565.0
19,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",REP,Martha Roby                           ,1142,201.0,612.0,350.0,536.0,575.0,1696.0,1107.0,249.0,1135.0,66.0,582.0,253.0,1134.0,159.0,274.0,195.0,105,650.0,359.0,116.0,774.0,854.0,117.0,1912.0,350.0,1670.0,605.0,797.0
20,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",NON,Write-In                              ,149,93.0,258.0,200.0,200.0,233.0,671.0,388.0,115.0,465.0,11.0,298.0,120.0,403.0,59.0,127.0,85.0,23,369.0,108.0,34.0,304.0,403.0,25.0,894.0,120.0,695.0,289.0,232.0
21,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Over Votes                            ,3,2.0,2.0,0.0,5.0,3.0,5.0,7.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,1,0.0,0.0,0.0,5.0,5.0,7.0,7.0,2.0,6.0,0.0,7.0
22,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Under Votes                           ,104,19.0,55.0,46.0,63.0,68.0,147.0,103.0,41.0,96.0,20.0,64.0,40.0,121.0,13.0,37.0,37.0,9,68.0,47.0,23.0,68.0,79.0,22.0,177.0,33.0,150.0,57.0,65.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",1484,355.0,1053.0,630.0,899.0,1021.0,2638.0,1814.0,426.0,1929.0,107.0,1040.0,456.0,1788.0,292.0,505.0,356.0,164,1248.0,585.0,181.0,1318.0,1461.0,226.0,3203.0,567.0,2670.0,1087.0,1390.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,16,24.0,18.0,6.0,11.0,12.0,32.0,75.0,2.0,57.0,4.0,8.0,23.0,41.0,1.0,9.0,2.0,13,9.0,6.0,4.0,16.0,53.0,78.0,38.0,17.0,32.0,12.0,128.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,496,335.0,355.0,159.0,273.0,232.0,590.0,703.0,99.0,647.0,146.0,208.0,286.0,948.0,55.0,119.0,75.0,71,155.0,177.0,142.0,230.0,658.0,1228.0,750.0,163.0,604.0,186.0,1148.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,1486,357.0,1052.0,634.0,902.0,1020.0,2634.0,1815.0,429.0,1934.0,108.0,1041.0,456.0,1796.0,292.0,500.0,356.0,168,1254.0,584.0,181.0,1328.0,1459.0,210.0,3237.0,572.0,2684.0,1094.0,1397.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,15,22.0,15.0,4.0,7.0,12.0,32.0,68.0,1.0,55.0,4.0,7.0,26.0,41.0,1.0,8.0,2.0,9,4.0,8.0,4.0,15.0,50.0,74.0,33.0,14.0,26.0,8.0,117.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,495,335.0,361.0,157.0,274.0,235.0,596.0,711.0,98.0,644.0,145.0,209.0,282.0,940.0,55.0,125.0,75.0,73,153.0,176.0,142.0,222.0,664.0,1247.0,721.0,161.0,598.0,183.0,1152.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,1483,350.0,1053.0,631.0,893.0,1016.0,2629.0,1805.0,429.0,1936.0,106.0,1040.0,461.0,1780.0,288.0,498.0,354.0,163,1254.0,585.0,179.0,1320.0,1461.0,210.0,3205.0,568.0,2673.0,1098.0,1389.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,15,26.0,16.0,2.0,7.0,12.0,29.0,72.0,2.0,50.0,4.0,6.0,23.0,45.0,1.0,8.0,2.0,11,5.0,6.0,4.0,14.0,49.0,73.0,39.0,14.0,29.0,9.0,114.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,498,338.0,359.0,162.0,283.0,239.0,604.0,717.0,97.0,649.0,147.0,211.0,281.0,953.0,59.0,127.0,77.0,75,152.0,177.0,144.0,230.0,663.0,1249.0,748.0,165.0,605.0,177.0,1163.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,1477,358.0,1061.0,636.0,922.0,1031.0,2640.0,1831.0,446.0,1967.0,103.0,1060.0,461.0,1798.0,289.0,507.0,358.0,161,1260.0,591.0,186.0,1327.0,1452.0,222.0,3229.0,582.0,2674.0,1083.0,1400.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,17,23.0,17.0,3.0,6.0,12.0,29.0,71.0,3.0,59.0,6.0,6.0,26.0,46.0,1.0,8.0,4.0,11,7.0,6.0,4.0,23.0,54.0,68.0,51.0,10.0,37.0,11.0,108.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,502,333.0,349.0,156.0,255.0,224.0,593.0,690.0,79.0,609.0,148.0,191.0,278.0,933.0,58.0,117.0,71.0,79,145.0,171.0,137.0,215.0,666.0,1241.0,710.0,155.0,597.0,191.0,1156.0
39,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 3     ",REP,Butch Binford                         ,1510,354.0,1053.0,633.0,910.0,1022.0,2668.0,1844.0,437.0,1957.0,106.0,1055.0,475.0,1821.0,297.0,499.0,353.0,164,1252.0,595.0,182.0,1320.0,1463.0,230.0,3246.0,573.0,2738.0,1082.0,1394.0
40,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 3     ",NON,Write-In                              ,16,24.0,14.0,2.0,8.0,13.0,22.0,61.0,2.0,55.0,7.0,4.0,25.0,41.0,1.0,8.0,3.0,10,8.0,5.0,4.0,23.0,57.0,67.0,40.0,15.0,27.0,8.0,108.0
41,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Over Votes                            ,0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0
42,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Under Votes                           ,471,335.0,361.0,160.0,264.0,230.0,572.0,688.0,89.0,622.0,144.0,198.0,265.0,915.0,50.0,126.0,77.0,77,152.0,168.0,141.0,222.0,653.0,1235.0,703.0,159.0,542.0,194.0,1163.0
43,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 4     ",REP,Larry K. Anderson                     ,1510,356.0,1065.0,642.0,915.0,1031.0,2665.0,1863.0,446.0,1959.0,107.0,1056.0,476.0,1825.0,298.0,508.0,355.0,163,1256.0,600.0,189.0,1329.0,1473.0,230.0,3266.0,575.0,2737.0,1089.0,1413.0
44,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 4     ",NON,Write-In                              ,20,23.0,17.0,3.0,11.0,15.0,30.0,65.0,2.0,60.0,5.0,5.0,27.0,48.0,2.0,7.0,5.0,10,5.0,7.0,4.0,25.0,56.0,60.0,44.0,15.0,37.0,10.0,109.0
45,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 4     ",   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46,"CIRCUIT COURT JUDGE, 20TH JUDICIAL CIRCUIT, PLACE 4     ",   ,Under Votes                           ,464,335.0,346.0,150.0,257.0,221.0,566.0,666.0,80.0,616.0,145.0,196.0,262.0,904.0,48.0,118.0,73.0,78,151.0,161.0,134.0,211.0,644.0,1242.0,680.0,157.0,534.0,186.0,1144.0
47,"DISTRICT ATTORNEY, 20TH JUDICIAL CIRCUIT                ",REP,"Patrick B. ""Pat"" Jones                ",1504,353.0,1051.0,638.0,907.0,1015.0,2680.0,1845.0,441.0,1946.0,109.0,1047.0,468.0,1825.0,297.0,502.0,357.0,164,1257.0,591.0,186.0,1327.0,1464.0,227.0,3231.0,577.0,2712.0,1085.0,1415.0
