,Contest Title,Party,Candidate,ABSENTEE,ASPEL JACKSON WATERWORKS,BISHOP HALL'S STORE,BRIDGEPORT COMMUNITY CTR,BRYANT COMMUNITY BLDG_,CHRISTIAN HOME,CROW FIRE HALL,DEAN'S CHAPEL COMMUNITY,DUTTON CITY HALL,ESTILL FORK PRINCES STORE,FACKLER FIRE HALL,FLAT ROCK RURITAN BLDG_,GARTH BAPTIST CHURCH,HAMBRICK COMMUNITY,HIGDON NORTH SAND MT_ SCH,HOLLY SPRINGS BAPTIST CH,HOLLYTREE GROCERY,HOLLYWOOD CITY HALL,HYTOP TOWN HALL,LANGSTON CITY HALL,LARKINSVILLE STOCK BARN,LETCHER CHURCH OF GOD,LIMROCK FIRE HALL,LONG ISLAND COMMUNITY CTR,MACEDONIA SCHOOL,MINKCREEK NEWHOPE METHODI,PAINT ROCK SR CITIZEN CTR,PISGAH CITY HALL,PLEASANT GROVES COMM_ CTR,PRINCETON FIRE HALL,PROVISIONAL,ROSALIE COMMUNITY CTR_,SCOTTSBORO REC_COM_ BLDG_,SECTION NEW CITY HALL,SKYLINE CITY HALL,STEVENSON CITY PARK,TRENTON FIRE HALL,TUPELO/PIKEVILLE STORE,WOODVILLE BOB JONES COMM_
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,771,191.0,61.0,1337.0,851.0,254.0,156.0,319.0,1008.0,85.0,384.0,430.0,120.0,18.0,705.0,89.0,105.0,738.0,172.0,136.0,381.0,188.0,158.0,68.0,660,217,212.0,938.0,125.0,68.0,0.0,643.0,5581.0,798.0,738.0,1516.0,70.0,252.0,595.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,89,14.0,8.0,191.0,48.0,20.0,7.0,31.0,79.0,3.0,39.0,24.0,8.0,1.0,65.0,7.0,14.0,123.0,14.0,12.0,14.0,6.0,15.0,4.0,45,17,13.0,78.0,0.0,5.0,0.0,68.0,602.0,56.0,33.0,254.0,2.0,14.0,37.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,250,65.0,18.0,399.0,363.0,97.0,46.0,131.0,310.0,30.0,87.0,157.0,54.0,6.0,287.0,36.0,31.0,174.0,53.0,49.0,138.0,36.0,46.0,32.0,187,75,74.0,293.0,33.0,9.0,0.0,193.0,1624.0,200.0,184.0,368.0,32.0,98.0,213.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,430,112.0,35.0,746.0,440.0,137.0,103.0,157.0,619.0,52.0,258.0,249.0,58.0,11.0,353.0,46.0,60.0,441.0,105.0,75.0,229.0,146.0,97.0,32.0,428,125,125.0,0.0,92.0,54.0,0.0,382.0,3354.0,542.0,520.0,894.0,36.0,140.0,345.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,172,32.0,14.0,303.0,77.0,38.0,16.0,53.0,167.0,6.0,66.0,43.0,17.0,1.0,102.0,9.0,22.0,183.0,20.0,21.0,32.0,17.0,30.0,7.0,75,29,26.0,179.0,5.0,9.0,0.0,131.0,1061.0,134.0,68.0,379.0,8.0,26.0,85.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,568,154.0,41.0,978.0,746.0,212.0,138.0,256.0,809.0,77.0,304.0,371.0,99.0,17.0,590.0,78.0,78.0,528.0,142.0,108.0,337.0,166.0,122.0,61.0,558,173,172.0,701.0,106.0,54.0,0.0,475.0,4275.0,633.0,644.0,1093.0,60.0,223.0,496.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,21,2.0,4.0,32.0,14.0,2.0,1.0,4.0,18.0,1.0,7.0,6.0,1.0,0.0,5.0,1.0,1.0,11.0,6.0,4.0,6.0,3.0,2.0,0.0,11,9,7.0,35.0,2.0,1.0,0.0,20.0,107.0,12.0,8.0,20.0,0.0,0.0,5.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,4,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5,1,0.0,10.0,0.0,0.0,0.0,3.0,32.0,4.0,2.0,2.0,0.0,1.0,2.0
