,Contest Title,Party,Candidate,ABSENTEE,BEAVERTON CITY HALL NORTH,BEAVERTON CITY HALL SOUTH,BEDFORD MILITARY,BLOOMING GROVE,CREWS METHODIST CHURCH,CROSSVILLE LAWR_,DETROIT CITY HALL,FAIRVIEW SIZEMORE,FERNBANK COMMUNITY CENTER,GUIN MT OLIVE,HENSON SPRINGS FIRE STAT,HIGHTOGY RIDGE,KENNEDY COMMUNITY CENTER,MILLPORT LIBRARY,MOLLOY BETTS,MT_ PLEASANT CURRY,PINE SPRINGS,PROVISIONAL,STAR_ COMMUNITY CENTER,STRICKLAND KINGVILLE,SULLIGENT CITY HALL NORTH,SULLIGENT CITY HALL SOUTH,TRULL,VAILS,VERNON ARMORY EAST,VERNON ARMORY WEST
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,343,58.0,157.0,136.0,49.0,228.0,216.0,282.0,57.0,211.0,108.0,73.0,179.0,577.0,528.0,223.0,94.0,155.0,0.0,88.0,117.0,885.0,343.0,128.0,213.0,591.0,968.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,31,6.0,11.0,11.0,1.0,7.0,15.0,17.0,10.0,3.0,3.0,8.0,2.0,51.0,154.0,8.0,2.0,10.0,0.0,1.0,4.0,119.0,61.0,1.0,5.0,48.0,144.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,126,22.0,68.0,59.0,17.0,65.0,96.0,99.0,18.0,95.0,52.0,36.0,83.0,253.0,136.0,98.0,40.0,29.0,0.0,37.0,54.0,261.0,141.0,62.0,123.0,228.0,329.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,182,30.0,78.0,66.0,31.0,156.0,105.0,166.0,29.0,113.0,53.0,29.0,94.0,272.0,238.0,117.0,52.0,116.0,0.0,50.0,59.0,505.0,141.0,65.0,85.0,315.0,495.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,47,9.0,18.0,18.0,4.0,19.0,20.0,26.0,22.0,12.0,8.0,10.0,5.0,73.0,175.0,12.0,2.0,14.0,0.0,3.0,10.0,179.0,77.0,5.0,6.0,72.0,189.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,277,45.0,135.0,116.0,43.0,201.0,193.0,253.0,35.0,196.0,97.0,62.0,171.0,495.0,341.0,207.0,91.0,136.0,0.0,83.0,106.0,693.0,258.0,120.0,203.0,511.0,751.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,5,1.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,4.0,1.0,0.0,5.0,14.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,4,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,5.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,7,3.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,56,8.0,18.0,22.0,7.0,32.0,32.0,31.0,18.0,13.0,9.0,13.0,12.0,67.0,178.0,17.0,10.0,22.0,0.0,2.0,10.0,178.0,79.0,3.0,7.0,77.0,203.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,269,46.0,134.0,109.0,39.0,191.0,177.0,235.0,33.0,195.0,96.0,56.0,162.0,495.0,338.0,196.0,81.0,120.0,0.0,84.0,104.0,654.0,258.0,123.0,194.0,499.0,741.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,18,4.0,5.0,5.0,3.0,4.0,7.0,16.0,6.0,2.0,3.0,4.0,5.0,13.0,12.0,9.0,3.0,13.0,0.0,2.0,3.0,53.0,6.0,2.0,12.0,15.0,24.0
18,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",REP,Robert Aderholt                       ,251,47.0,134.0,106.0,46.0,187.0,184.0,226.0,38.0,193.0,101.0,57.0,163.0,496.0,343.0,192.0,83.0,118.0,0.0,78.0,103.0,660.0,270.0,121.0,190.0,521.0,767.0
