,Contest Title,Party,Candidate,1ST PRESBYTERIAN CH,ABSENTEE,ANDERSON TOWN HALL,BROADWAY REC CTR,CENTER STAR 1ST BAPTIST,CENTRAL BAPTIST CH,CENTRAL COMMUNITY CTR,CLOVERDALE COMMUNITY CTR,E CAMPUS WOODMONT BAPT CH,ELGIN SENIOR CTR,FLORENCE - FIRST BAPTIST,FLORENCE - HIGH SCHOOL,FLORENCE BLVD CH CHRIST,FOREST HILLS SCHOOL,GRADY RICHARDS CTR,GREENHILL SENIOR CTR,HANDY RECREATION CTR,HARLAN SCHOOL,HIBBETT SCHOOL,HIGHLAND BAPTIST CH,KILLEN BAPTIST CH,LAUDERDALE COUNTY BD,LEXINGTON SENIOR CTR,MARS HILL SCHOOL,OAKLAND FIRE STATION,PROVISIONAL,ROGERSVILLE SENIOR CTR,SHERROD AVE CH OF CHRIST,ST FLORIAN SENIOR CTR,STEWARTVILLE CH OF CHRIST,UNDERWOOD COMMUNITY CTR,WATERLOO SENIOR CITIZEN,ZIP CITY COMMUNITY CTR
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,580.0,2027,853.0,799.0,2362.0,507.0,1386.0,1354.0,882.0,1328.0,518.0,1272.0,904.0,2083.0,426.0,2867.0,597.0,812.0,886.0,1152.0,2277.0,1283.0,1241.0,2456.0,1051.0,254,2006.0,835.0,1198.0,833.0,1580.0,306.0,961.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,169.0,311,80.0,242.0,202.0,172.0,121.0,98.0,97.0,108.0,101.0,243.0,121.0,273.0,78.0,221.0,441.0,208.0,146.0,278.0,167.0,99.0,77.0,228.0,205.0,50,209.0,346.0,126.0,50.0,203.0,12.0,75.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,117.0,620,287.0,215.0,721.0,118.0,360.0,453.0,238.0,471.0,124.0,313.0,264.0,565.0,84.0,725.0,13.0,193.0,206.0,285.0,696.0,413.0,386.0,736.0,298.0,65,614.0,126.0,354.0,259.0,464.0,80.0,297.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,2.0,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,292.0,1070,486.0,342.0,1439.0,217.0,903.0,803.0,547.0,748.0,292.0,716.0,517.0,1245.0,264.0,1921.0,143.0,411.0,534.0,589.0,1414.0,770.0,776.0,1492.0,548.0,125,1183.0,363.0,718.0,524.0,913.0,214.0,588.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,294.0,566,134.0,338.0,382.0,244.0,235.0,194.0,224.0,191.0,215.0,431.0,223.0,557.0,161.0,468.0,545.0,315.0,303.0,472.0,366.0,234.0,168.0,532.0,292.0,75,409.0,494.0,226.0,111.0,353.0,41.0,159.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,233.0,1355,681.0,419.0,1868.0,229.0,1078.0,1116.0,609.0,1088.0,247.0,747.0,625.0,1414.0,227.0,2276.0,38.0,436.0,532.0,599.0,1828.0,995.0,1009.0,1807.0,713.0,164,1504.0,294.0,921.0,688.0,1153.0,249.0,757.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,31.0,56,18.0,20.0,49.0,21.0,36.0,24.0,20.0,23.0,28.0,51.0,28.0,53.0,20.0,36.0,7.0,27.0,30.0,43.0,46.0,21.0,33.0,49.0,25.0,6,52.0,24.0,28.0,13.0,43.0,7.0,19.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,2.0,4,6.0,9.0,19.0,9.0,7.0,5.0,5.0,7.0,10.0,11.0,3.0,11.0,5.0,10.0,1.0,9.0,8.0,16.0,4.0,7.0,1.0,15.0,3.0,2,10.0,8.0,3.0,3.0,3.0,2.0,4.0
