,Contest Title,Party,Candidate,ABSENTEE,BEAUREGARD SCHOOL GYM,BEULAH FIRE DEPT #3,BEULAH HIGH SCHOOL,BOYKIN COMMUNITY CTR,CLARION INN S COLLEGE,COVINGTON PARK COMM CTR,CRAWFORD VFD,DEAN ROAD REC CTR,EAMC EDUCATION CTR,FARMVILLE VFD,FRANK BROWN REC CTR,GLENWOOD SCHOOL,LOACHAPOKA COMM CTR,NATIONAL GUARD AUBURN,OPELIKA LEARNING CTR,OPELIKA RECREATION CTR,OPELIKA SPORTSPLEX,PINE GROVE UNITED METH,PROVISIONAL,SMITH STATION AUDITORIUM,SR CTR SMITH STATION,UPTOWN MARVYN,UPTOWN WAVERLY,WACOOCHEE JR HIGH SCHOOL
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,3692.0,2162.0,1636.0,3303.0,15350.0,3219.0,1394.0,8121.0,4870.0,1947.0,9913.0,5700.0,2470.0,5835.0,4331.0,3059.0,6623.0,2058.0,0,11215.0,4161.0,495.0,419.0,1380.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,3094,2259.0,1405.0,1082.0,1437.0,7496.0,1523.0,843.0,3966.0,2965.0,1415.0,4861.0,3318.0,1444.0,3369.0,2364.0,1832.0,4250.0,1219.0,469,5110.0,2352.0,307.0,276.0,873.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,663,465.0,111.0,43.0,855.0,1333.0,1269.0,270.0,653.0,661.0,156.0,1115.0,485.0,716.0,624.0,1443.0,418.0,709.0,234.0,146,1086.0,423.0,117.0,114.0,143.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,1196,876.0,737.0,542.0,163.0,2367.0,100.0,291.0,1025.0,992.0,491.0,1233.0,1474.0,252.0,892.0,325.0,588.0,1606.0,535.0,173,2182.0,1040.0,94.0,70.0,370.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,2,0.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0,4.0,2.0,1.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,1161,918.0,554.0,496.0,417.0,3794.0,153.0,282.0,2285.0,1312.0,767.0,2510.0,1356.0,475.0,1853.0,595.0,824.0,1933.0,450.0,150,1838.0,887.0,95.0,92.0,360.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,1095,624.0,165.0,80.0,1063.0,2438.0,1342.0,345.0,1501.0,1010.0,344.0,2033.0,713.0,867.0,1258.0,1685.0,598.0,1085.0,304.0,183,1471.0,550.0,145.0,144.0,187.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,1832,1548.0,1200.0,980.0,275.0,4406.0,148.0,470.0,2014.0,1823.0,978.0,2317.0,2475.0,481.0,1802.0,596.0,1108.0,2941.0,874.0,254,3458.0,1707.0,155.0,118.0,657.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,82,54.0,19.0,12.0,54.0,374.0,18.0,14.0,267.0,67.0,38.0,291.0,67.0,54.0,172.0,42.0,55.0,113.0,23.0,24,108.0,58.0,5.0,3.0,16.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,5,11.0,5.0,2.0,6.0,67.0,4.0,2.0,37.0,18.0,10.0,66.0,11.0,15.0,38.0,12.0,11.0,15.0,1.0,2,13.0,5.0,1.0,2.0,5.0
