,Contest Title,Party,Candidate,1ST BAPTIST CHURCH,A & M UNIVERSITY NEW GYM,ABSENTEE,ALDERSGATE UNITED METH_,ALL NATIONS CHURCH,BOB HARRISON SR_ CTR_,BOBO VOLUNTEER FIRE,BROWNSBORO BAPT_ CHURCH,CAVALRY FRIENDSHIP CTR_,CHARLES STONE AG_ CTR_,CO_ COMMISSION DIST_ 1,COMMUNITY FELLOWSHIP,COVE CHURCH AT CHASE,COVE UNITED METHODIST CH_,COVENANT PRESBYTERIAN CH_,DR_ RICHARD SHOWERS CTR_,FAITH LUTHERAN,FIRE & RESCUE TRAINING,FIRST BAPT_ MERIDANVILLE,FIRST CHURH OF GOD MADISO,FIRST MISSIONARY BAPTIST,GRACE UNITED METHODIST,GURLEY SENIOR CENTER,HAMPTON COVE CHURCH,HAROLD HARBIN GYM,HARVEST BAPTIST CHURCH,HILLWOOD BAPTIST CHURCH,INTERGRAPH CORP_,JACKSON WAY BAPTIST,LAKEWOOD COMMUNITY CTR_,LEWIS CHAPEL C_P_ CHURCH,LITTLE INDIAN CREEK CH_,LOCUST GROVE BAPTIST,MADISON BAPTIST CHURCH,MADISON CHURCH OF CHRIST,MADISON CITY HALL,MADISON CO_ NATURE TRAIL,MADISON MISSION 7 DAY ADV,MARY KELLY JOHNSTON GYM,MAYSVILLE CHURCH  CHRIST,MERIDANVILLE CH OF CHRIST,MONROVIA CH_ OF CHRIST,MONROVIA COMM_ CENTER,MONTE SANO FIRE STATION 2,MOUNTAINVIEW BAPTIST,MT_ ZION BAPTIST CHURCH,NEW HOPE CITY HALL,NEW MARKET FIRE STATION,NEW SHILOH CHURCH,NORTHEAST HUNTSVILLE,OAKWOOD UNIVERSITY CHURCH,OPTIMIST PARK,OWENS CROSS RDS CITY HALL,PINEVIEW BAPTIST CHURCH,PLAINVIEW CHURCH CHRIST,PLEASANT SPRINGS BAPTIST,PLEVNA NEW MARKET FIRE #2,PROVISIONAL,RESTORATION CHURCH,RIVERTREE CHURCH,SHERWOOD BAPTIST CH_,SOUTHWOOD PRESBYTERIAN,ST_ JOHN'S CATHOLIC CHURC,ST_ LUKE CHRISTIAN,THE DWELLING PLACE,TONEY UNITED METHODIST,TRIANA CITY HALL,TRINITY UNITED METHODIST,TRINTY PRESBYTERIAN,WEATHERLY HGTS BAPTIST,WEST HUNTSVILLE BAPTIST,WESTSIDE COMMUNITY CTR,WHITESBURG CENTER,WILLOWBROOK BAPTIST
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,4430.0,7189.0,0,5052.0,5248.0,3263.0,3718.0,2622.0,2994.0,1561.0,3106.0,4157.0,6692.0,5398.0,3129.0,2697.0,5723.0,2187.0,2620.0,2440.0,3710.0,4824.0,1657.0,2688.0,2739.0,3399.0,4964.0,6110.0,2623.0,2339.0,612.0,4445.0,3150.0,4801.0,2727.0,4055.0,626.0,4280.0,1752.0,4255.0,3838.0,6278.0,5341.0,1133.0,2275.0,6325.0,3183.0,1654.0,2192.0,1640.0,9159.0,3141.0,2874.0,2451.0,2798.0,570.0,779.0,0,4522.0,4821.0,5303.0,2806.0,5571.0,5282.0,5307.0,4016.0,2309.0,6009.0,2100.0,4535.0,3379.0,667.0,4311.0,6304.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,2831.0,1282.0,9326,3285.0,2314.0,1894.0,2181.0,1778.0,1168.0,580.0,1908.0,2568.0,4324.0,3469.0,1985.0,1315.0,3694.0,1125.0,1779.0,1672.0,1847.0,2982.0,1072.0,1762.0,1691.0,2241.0,2885.0,3586.0,1466.0,1118.0,351.0,3136.0,2131.0,3019.0,1734.0,2639.0,470.0,2475.0,1053.0,2937.0,2599.0,4059.0,3586.0,774.0,1324.0,4328.0,2004.0,1127.0,1203.0,1103.0,3304.0,2026.0,1946.0,1593.0,1685.0,355.0,544.0,760,2966.0,3437.0,2785.0,1777.0,3671.0,2086.0,3287.0,2471.0,1591.0,3030.0,889.0,2874.0,1270.0,217.0,2674.0,3941.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,357.0,1061.0,1958,371.0,832.0,1296.0,257.0,215.0,810.0,318.0,237.0,323.0,933.0,251.0,235.0,999.0,829.0,651.0,505.0,252.0,1263.0,863.0,96.0,101.0,132.0,656.0,412.0,912.0,260.0,736.0,231.0,543.0,331.0,518.0,282.0,403.0,43.0,506.0,204.0,276.0,406.0,858.0,864.0,140.0,182.0,844.0,152.0,102.0,839.0,196.0,2117.0,268.0,129.0,457.0,149.0,217.0,48.0,0,444.0,326.0,761.0,151.0,350.0,1325.0,430.0,458.0,604.0,666.0,263.0,286.0,536.0,178.0,302.0,420.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,732.0,18.0,2970,1026.0,544.0,94.0,861.0,571.0,71.0,82.0,478.0,818.0,1160.0,1231.0,582.0,41.0,855.0,147.0,373.0,505.0,96.0,580.0,406.0,614.0,487.0,612.0,909.0,900.0,362.0,92.0,22.0,981.0,534.0,788.0,483.0,683.0,137.0,625.0,278.0,964.0,757.0,1156.0,920.0,195.0,310.0,1258.0,768.0,303.0,46.0,315.0,299.0,603.0,806.0,376.0,507.0,24.0,125.0,0,836.0,1136.0,586.0,631.0,1152.0,151.0,1066.0,800.0,294.0,767.0,215.0,888.0,235.0,11.0,835.0,1256.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0.0,2.0,11,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,1742.0,201.0,4096,1887.0,937.0,504.0,1063.0,992.0,283.0,180.0,1193.0,1424.0,2230.0,1987.0,1168.0,274.0,2010.0,327.0,901.0,915.0,488.0,1539.0,570.0,1047.0,1072.0,973.0,1563.0,1774.0,844.0,288.0,98.0,1612.0,1266.0,1713.0,969.0,1553.0,290.0,1343.0,569.0,1695.0,1435.0,2045.0,1802.0,439.0,832.0,2226.0,1083.0,722.0,318.0,592.0,886.0,1154.0,1011.0,760.0,1029.0,114.0,371.0,0,1686.0,1974.0,1437.0,995.0,2169.0,610.0,1791.0,1213.0,693.0,1597.0,409.0,1700.0,499.0,28.0,1537.0,2264.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,955.0,1213.0,3750,896.0,1171.0,1647.0,438.0,402.0,974.0,403.0,421.0,702.0,1523.0,766.0,600.0,1221.0,1488.0,828.0,749.0,499.0,1619.0,1520.0,192.0,376.0,263.0,986.0,868.0,1593.0,552.0,893.0,285.0,1000.0,623.0,1014.0,589.0,875.0,115.0,993.0,324.0,571.0,635.0,1502.0,1452.0,351.0,515.0,1534.0,283.0,207.0,1067.0,367.0,2632.0,626.0,287.0,722.0,254.0,292.0,89.0,387,995.0,758.0,1294.0,414.0,916.0,1663.0,895.0,731.0,911.0,1235.0,413.0,790.0,727.0,194.0,738.0,1049.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,1622.0,17.0,5052,2107.0,983.0,198.0,1656.0,1262.0,126.0,142.0,1393.0,1610.0,2531.0,2447.0,1231.0,71.0,1883.0,255.0,923.0,1022.0,178.0,1203.0,825.0,1264.0,1349.0,1103.0,1738.0,1669.0,740.0,181.0,55.0,1940.0,1376.0,1721.0,981.0,1455.0,316.0,1232.0,664.0,2202.0,1815.0,2196.0,1914.0,361.0,687.0,2456.0,1639.0,871.0,92.0,654.0,539.0,1239.0,1526.0,748.0,1342.0,46.0,430.0,321,1708.0,2372.0,1192.0,1209.0,2386.0,311.0,2109.0,1613.0,563.0,1536.0,389.0,1822.0,442.0,18.0,1701.0,2550.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,152.0,19.0,326,147.0,92.0,19.0,52.0,64.0,28.0,12.0,58.0,139.0,135.0,128.0,86.0,4.0,200.0,18.0,50.0,94.0,25.0,152.0,27.0,63.0,37.0,98.0,170.0,192.0,108.0,15.0,6.0,104.0,72.0,132.0,93.0,169.0,26.0,150.0,32.0,97.0,75.0,212.0,106.0,40.0,58.0,168.0,43.0,14.0,15.0,54.0,51.0,89.0,79.0,64.0,44.0,9.0,6.0,30,158.0,160.0,181.0,83.0,218.0,51.0,169.0,74.0,62.0,151.0,55.0,154.0,43.0,0.0,127.0,187.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,18.0,12.0,60,28.0,29.0,14.0,11.0,13.0,12.0,12.0,12.0,20.0,29.0,10.0,9.0,4.0,23.0,11.0,19.0,15.0,14.0,24.0,9.0,5.0,10.0,16.0,26.0,31.0,28.0,10.0,3.0,10.0,13.0,27.0,15.0,22.0,4.0,29.0,7.0,10.0,15.0,39.0,21.0,8.0,17.0,30.0,8.0,9.0,8.0,6.0,33.0,21.0,11.0,19.0,11.0,3.0,2.0,6,18.0,10.0,35.0,10.0,29.0,34.0,22.0,20.0,15.0,24.0,14.0,25.0,18.0,1.0,14.0,24.0
