,Contest Title,Party,Candidate,ABSENTEE,ARMORY,COMMUNITY LIFE BLDG,EAST PERRY,HAMBURG VFD,HEIBERGER,HINTON HALL,NORTH PERRY,OFS FIRE STATION,PROVISIONAL,RADFORDVILLE,SEVERE,UNIONTOWN CITY HALL,WEST PERRY
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,3222,1695.0,188.0,341.0,388.0,175.0,360.0,318.0,0,181.0,116.0,975.0,657.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,299,1826,980.0,114.0,223.0,252.0,116.0,178.0,203.0,0,113.0,78.0,540.0,377.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,209,1165,832.0,34.0,134.0,41.0,111.0,39.0,84.0,17,51.0,15.0,415.0,285.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,26,175,11.0,51.0,34.0,84.0,1.0,63.0,35.0,1,19.0,21.0,20.0,32.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,64,483,137.0,29.0,55.0,125.0,4.0,76.0,84.0,0,43.0,42.0,105.0,60.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,242,1314,925.0,37.0,141.0,49.0,115.0,41.0,96.0,1,57.0,17.0,485.0,304.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,53,475,49.0,75.0,77.0,197.0,1.0,136.0,103.0,4,55.0,61.0,54.0,67.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,0,15,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,2,10,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,3.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,1,3,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,2.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,234,1254,877.0,36.0,140.0,52.0,112.0,41.0,97.0,2,55.0,19.0,443.0,294.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,60,513,74.0,78.0,78.0,192.0,4.0,131.0,103.0,3,54.0,56.0,75.0,75.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,5,57,28.0,0.0,4.0,8.0,0.0,6.0,3.0,0,4.0,3.0,22.0,7.0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,258,1446,927.0,53.0,163.0,113.0,115.0,75.0,146.0,4,80.0,32.0,487.0,325.0
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,1,13,5.0,0.0,6.0,0.0,0.0,4.0,0.0,0,0.0,0.0,3.0,4.0
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,40,367,47.0,61.0,54.0,139.0,1.0,99.0,57.0,0,33.0,46.0,50.0,48.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",66,478,106.0,73.0,74.0,191.0,6.0,118.0,103.0,2,50.0,49.0,111.0,74.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,2,17,16.0,0.0,6.0,2.0,0.0,0.0,2.0,0,0.0,2.0,5.0,6.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,231,1330,858.0,41.0,143.0,59.0,110.0,59.0,98.0,0,63.0,27.0,424.0,297.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,66,475,102.0,73.0,74.0,189.0,5.0,119.0,107.0,2,49.0,50.0,112.0,69.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,2,16,14.0,0.0,5.0,2.0,0.0,0.0,1.0,0,0.0,1.0,5.0,7.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,231,1335,864.0,41.0,144.0,61.0,111.0,59.0,95.0,0,64.0,27.0,423.0,301.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,67,467,99.0,74.0,76.0,186.0,5.0,118.0,105.0,2,48.0,53.0,109.0,70.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,2,16,13.0,0.0,5.0,1.0,0.0,0.0,1.0,0,0.0,0.0,5.0,5.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,230,1343,868.0,40.0,142.0,65.0,111.0,60.0,97.0,0,65.0,25.0,426.0,302.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,73,478,102.0,74.0,76.0,196.0,5.0,118.0,109.0,2,49.0,55.0,110.0,70.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,3,17,14.0,0.0,6.0,1.0,0.0,0.0,1.0,0,0.0,0.0,5.0,8.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,223,1330,864.0,40.0,141.0,55.0,111.0,60.0,92.0,0,64.0,23.0,425.0,299.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,254,1405,923.0,50.0,168.0,97.0,115.0,64.0,137.0,2,71.0,28.0,486.0,318.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,1,9,3.0,0.0,3.0,0.0,0.0,4.0,1.0,0,0.0,0.0,2.0,3.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,44,411,54.0,64.0,52.0,155.0,1.0,110.0,65.0,0,42.0,50.0,52.0,56.0
42,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",DEM,Don McMillan                          ,264,1567,927.0,55.0,189.0,148.0,116.0,77.0,151.0,4,90.0,48.0,497.0,338.0
43,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",NON,Write-In                              ,0,4,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0,0.0,0.0,2.0,3.0
44,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Over Votes                            ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Under Votes                           ,35,255,49.0,59.0,32.0,104.0,0.0,98.0,52.0,0,23.0,30.0,41.0,36.0
