,Contest Title,Party,Candidate,ABSENTEE,ALICEVILLE,BENEVOLA,BETHLEHEM,CARROLLTON/SPEEDS MILL,COCHRANE/DANCY,ETHELSVILLE,FAIRVIEW/ZION,FORREST,GORDO,KIRK,LIBERTY,MACEDONIA,MCSHAN,PALMETTO,PICKENSVILLE,PINE GROVE,PROVISIONAL,REFORM,SAPPS,SPRING HILL
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,327,1916,53,117,1048,199,140,815,228,1538,214,332,193,132,217,333,124,0.0,1199,406,57
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,96,1233,1,1,348,128,20,13,14,263,5,79,134,29,19,172,22,0.0,412,312,23
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,66,138,13,33,181,16,49,168,81,289,83,92,17,31,62,46,29,0.0,182,19,6
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,165,544,39,83,519,55,71,634,133,985,126,161,42,72,136,115,73,0.0,605,75,28
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,117,1382,4,2,422,137,29,28,23,372,6,96,154,34,28,223,28,0.0,509,350,28
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,205,517,47,114,607,62,109,769,197,1135,207,229,34,96,184,106,93,0.0,666,50,27
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,1,2,0,1,7,0,0,4,4,5,1,3,3,0,4,1,2,0.0,9,2,0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0,5,0,0,3,0,0,1,2,4,0,0,1,2,0,0,0,0.0,0,0,1
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,1,2,1,0,5,0,1,8,1,14,0,1,0,0,1,3,1,0.0,6,0,1
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,5,4,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0.0,5,1,0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,2,4,1,0,4,0,1,4,1,4,0,0,1,0,0,0,0,0.0,4,3,0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,114,1351,4,7,396,136,28,51,25,383,10,94,145,35,33,198,30,0.0,501,336,31
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,211,523,45,105,617,59,107,739,197,1097,191,232,42,91,181,120,92,0.0,651,56,26
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0.0,0,0,0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,3,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0.0,1,0,0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,6,39,4,5,31,4,5,24,6,56,13,4,5,6,2,14,2,0.0,46,14,0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,174,1553,20,35,624,162,56,305,85,730,58,158,168,70,79,250,62,0.0,779,347,40
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,12,13,1,6,22,1,4,34,11,58,2,89,0,6,16,2,2,0.0,34,5,2
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,145,349,32,76,402,36,80,476,132,749,154,85,25,56,122,81,60,0.0,386,54,15
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",196,539,36,91,583,55,108,662,197,1033,172,249,47,97,167,125,98,0.0,658,62,35
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,5,21,0,0,14,1,4,4,1,11,1,1,7,1,4,5,1,0.0,12,2,0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,127,1356,17,26,451,143,28,149,30,494,41,82,139,34,46,203,25,0.0,529,342,22
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,198,534,37,91,577,54,106,655,196,1022,171,248,46,94,165,123,93,0.0,653,63,34
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,4,20,0,0,14,1,4,4,1,10,0,2,8,2,5,5,1,0.0,8,2,0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2,0,0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,126,1362,16,26,457,144,30,156,31,505,43,82,139,36,47,205,30,0.0,536,341,23
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,199,531,37,91,580,54,109,668,195,1026,173,247,48,96,168,121,93,0.0,653,63,35
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,4,21,0,0,15,1,4,4,1,11,0,1,7,1,4,5,1,0.0,8,2,0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,125,1364,16,26,453,144,27,143,32,501,41,84,138,35,45,207,30,0.0,538,341,22
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,200,542,40,94,597,54,110,659,193,1047,172,247,42,96,163,123,92,0.0,661,60,35
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,2,21,0,0,13,0,4,5,1,8,0,4,6,1,5,7,1,0.0,12,3,0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,126,1353,13,23,438,145,26,151,34,482,42,81,145,35,49,203,31,0.0,526,343,22
38,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",REP,Sam Junkin                            ,213,564,39,97,610,56,108,704,199,1079,181,246,44,99,172,131,91,0.0,679,62,36
39,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",NON,Write-In                              ,2,21,0,0,14,0,6,3,0,7,0,2,6,1,6,7,1,0.0,11,2,0
40,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
41,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Under Votes                           ,113,1331,14,20,424,143,26,108,29,452,33,84,143,32,39,195,32,0.0,509,342,21
42,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",REP,Chris McCool                          ,217,588,44,103,647,64,110,735,202,1137,193,248,46,106,176,137,95,0.0,704,71,35
43,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,4,16,0,0,12,0,6,6,1,14,0,1,6,2,5,8,1,0.0,20,2,1
44,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0
45,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,107,1312,9,14,389,135,24,74,25,387,21,82,141,24,36,188,28,0.0,475,333,21
46,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,115,1150,17,49,531,73,52,347,109,717,84,181,55,58,92,139,51,0.0,553,143,30
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,39,221,11,24,173,15,29,181,43,297,42,77,28,33,60,52,30,0.0,210,29,10
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,173,543,25,44,343,111,59,287,76,524,88,74,110,41,65,142,43,0.0,436,234,17
50,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,137,1199,35,73,636,79,75,532,148,940,136,208,61,80,133,161,61,0.0,670,147,34
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,47,214,7,19,143,10,21,115,27,260,23,73,32,25,35,40,28,0.0,200,27,8
