,Contest Title,Party,Candidate,ABSENTEE,ANTIOCH CHURCH,BANKS VOTING CENTER #1,BANKS VOTING CTR #2,BRUNDIDGE-HAISTEN BLDG,CHINA GROVE COUNTY BLDG,DUNNS VOTING CENTER #1,DUNNS VOTING CTR #2,EBENEZER VOTING CENTER #1,EBENEZER VOTING CTR #2,ENON COUNTY BLDG,FIRST BAPTIST CHURCH,GALLOWAY RD COMM CTR,GOLDEN-SATELLITE BLDG,GOSHEN TOWN HALL,HAMILTON CROSS ROADS,HENDERSON VOTING CTR #1,HENDERSON VOTING CTR #2,JOSIE COUNTY BLDG,LITTLE OAK COUNTY BLDG,MEEKSVILLE VOL FIRE,OAK BOWERY CHURCH,PIKE COUNTY COURTHOUSE,PROVISIONAL,RURAL HOME COUNTY BLDG,SACO - VOL_ FIRE DEPT,SACO #2,SPRINGHILL HOUSING AUTH,SPRINGHILL VOL FIRE DEPT,SWEET PILGRIM CHURCH,TARENTUM COMM_ CLUBHOUSE,TENNILLE METHODIST,TROY ADAMS ARMORY,TROY PUBLIC LIBRARY,TROY REC CENTER
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,455.0,159.0,475.0,622.0,253.0,33.0,201.0,105.0,148.0,293.0,1941.0,1460.0,630.0,507.0,310.0,126.0,174.0,268.0,366.0,682.0,196.0,2122.0,0,629.0,36.0,43.0,370.0,443.0,202.0,518.0,104.0,3257.0,2667.0,2756.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,417,286.0,105.0,320.0,328.0,180.0,24.0,141.0,72.0,105.0,208.0,1243.0,730.0,368.0,351.0,212.0,87.0,116.0,179.0,217.0,400.0,132.0,995.0,22,404.0,22.0,21.0,217.0,269.0,126.0,352.0,79.0,1619.0,1231.0,1687.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,101,28.0,18.0,54.0,94.0,50.0,7.0,14.0,13.0,20.0,16.0,190.0,469.0,109.0,44.0,12.0,3.0,13.0,19.0,15.0,180.0,43.0,477.0,11,112.0,8.0,11.0,99.0,21.0,57.0,47.0,7.0,275.0,791.0,268.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,103,103.0,16.0,63.0,72.0,53.0,3.0,44.0,23.0,34.0,36.0,326.0,44.0,58.0,79.0,39.0,20.0,32.0,39.0,65.0,87.0,44.0,129.0,4,105.0,2.0,2.0,26.0,100.0,19.0,71.0,20.0,404.0,96.0,393.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,218,155.0,71.0,203.0,162.0,77.0,14.0,83.0,36.0,51.0,156.0,726.0,217.0,200.0,228.0,161.0,63.0,71.0,121.0,137.0,133.0,45.0,387.0,0,187.0,12.0,8.0,92.0,148.0,50.0,233.0,52.0,939.0,344.0,1024.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,150,46.0,28.0,72.0,129.0,76.0,9.0,20.0,14.0,24.0,17.0,320.0,616.0,147.0,59.0,21.0,11.0,21.0,30.0,19.0,207.0,53.0,630.0,13,133.0,10.0,16.0,121.0,30.0,72.0,58.0,10.0,470.0,967.0,437.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,263,231.0,75.0,244.0,194.0,100.0,14.0,118.0,56.0,81.0,184.0,854.0,98.0,203.0,277.0,180.0,75.0,92.0,147.0,191.0,186.0,79.0,322.0,8,256.0,11.0,5.0,91.0,222.0,54.0,282.0,65.0,1053.0,216.0,1166.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,5,4.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,28.0,5.0,5.0,7.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,24.0,0,4.0,0.0,0.0,2.0,6.0,0.0,7.0,2.0,61.0,27.0,43.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,7.0,8.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,4,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,26.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,5.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,22.0,2.0,23.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,6.0,6.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,1.0,4.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,6.0,4.0
