,Contest Title,Party,Candidate,ABSENTEE,BACON LEVEL,BETHEL,CAVERS GROVE,CORINTH,GRAHAM,LEVEL ROAD,MIDWAY,MOORES STORE,MORRISON XR FD,NATIONAL GUARD ARMORY #1,NATIONAL GUARD ARMORY #2,NATIONAL GUARD ARMORY #3,NEW HOPE,OMAHA,OPHELIA,PINE HILL,PROVISIONAL,ROCK MILLS,SWAGG,TIN SHOP FD,WADLEY,WEDOWEE CITY HALL #1,WEDOWEE CITY HALL #2,WEHADKEE,WESLEY CHAPEL,WILSON STORE,WOODLAND FIRE DEPT_ 1
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,534,307.0,183.0,277.0,268.0,228.0,349.0,381.0,288.0,309.0,709.0,881.0,1197.0,154.0,217.0,190.0,297.0,0.0,240.0,305.0,464.0,353.0,832.0,354.0,66.0,172.0,160.0,552.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,30,36.0,10.0,8.0,13.0,11.0,41.0,96.0,7.0,76.0,188.0,295.0,435.0,14.0,6.0,14.0,18.0,0.0,14.0,27.0,11.0,55.0,133.0,70.0,14.0,10.0,22.0,30.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,167,114.0,74.0,112.0,96.0,95.0,117.0,101.0,80.0,84.0,171.0,207.0,257.0,42.0,67.0,91.0,118.0,0.0,91.0,119.0,137.0,89.0,283.0,116.0,19.0,66.0,52.0,172.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,234,157.0,99.0,157.0,159.0,122.0,190.0,184.0,201.0,149.0,349.0,379.0,505.0,98.0,144.0,85.0,161.0,0.0,135.0,159.0,316.0,208.0,416.0,168.0,33.0,95.0,86.0,350.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,95,49.0,14.0,23.0,27.0,23.0,47.0,123.0,20.0,90.0,219.0,359.0,526.0,19.0,14.0,19.0,25.0,0.0,23.0,41.0,25.0,82.0,203.0,98.0,16.0,14.0,28.0,68.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,421,257.0,165.0,244.0,234.0,199.0,291.0,251.0,258.0,205.0,472.0,502.0,640.0,131.0,195.0,168.0,265.0,0.0,213.0,254.0,429.0,256.0,608.0,245.0,49.0,146.0,131.0,468.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,8,1.0,0.0,6.0,7.0,3.0,3.0,2.0,6.0,7.0,5.0,14.0,8.0,0.0,5.0,1.0,3.0,0.0,0.0,5.0,2.0,5.0,11.0,7.0,1.0,4.0,0.0,10.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,3,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,6.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,3.0,4.0,1.0,0.0,4.0,0.0,3.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,1.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,1,0.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,9.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,0.0,3.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,106,52.0,16.0,33.0,22.0,29.0,59.0,129.0,31.0,95.0,232.0,360.0,532.0,24.0,17.0,24.0,34.0,0.0,25.0,45.0,29.0,95.0,201.0,94.0,16.0,21.0,35.0,66.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,409,246.0,158.0,235.0,231.0,192.0,278.0,229.0,241.0,202.0,461.0,497.0,630.0,122.0,183.0,154.0,247.0,0.0,210.0,248.0,413.0,250.0,593.0,252.0,48.0,147.0,120.0,451.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
