,Contest Title,Party,Candidate,ABSENTEE,AUSTIN SUMBRY PARK,CENTRAL ACTIVITIES BLDG,CLAUDE PARKMAN BLDG,COTTONTON FIRE STATION,CRAWFORD VFD,DIXIE VFD,FIRE DEPARTMENT HURTSBORO,FT_ MITCHELL COMM CENTER,HATCHECHUBBEE FIRE,LADONIA VFD,NATIONAL GUARD ARMORY,OLD SEALE COURTHOUSE,PITTSVIEW FIRE,PROVISIONAL,ROY MARTIN CENTER,RUSSELL COUNTY COURTHOUSE,SPENCER REC CENTER,TROY UNIVERSITY
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,922,891.0,1969.0,718.0,315.0,1566.0,331.0,716.0,1678.0,195.0,2165.0,614.0,863.0,330.0,0.0,2626.0,826.0,1669.0,973.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,292,491.0,748.0,509.0,58.0,258.0,81.0,497.0,718.0,78.0,441.0,101.0,302.0,204.0,0.0,503.0,490.0,1361.0,527.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,285,138.0,486.0,37.0,126.0,559.0,104.0,92.0,465.0,39.0,741.0,222.0,234.0,67.0,0.0,944.0,112.0,74.0,168.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,367,262.0,734.0,172.0,130.0,748.0,146.0,126.0,491.0,78.0,982.0,291.0,327.0,59.0,0.0,1177.0,224.0,232.0,274.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,390,626.0,956.0,616.0,83.0,376.0,116.0,548.0,871.0,100.0,620.0,163.0,379.0,224.0,0.0,737.0,602.0,1519.0,651.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,505,239.0,947.0,78.0,223.0,1147.0,209.0,159.0,736.0,91.0,1480.0,428.0,459.0,103.0,0.0,1783.0,203.0,119.0,301.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,12,13.0,29.0,7.0,7.0,20.0,2.0,3.0,39.0,2.0,32.0,13.0,18.0,2.0,0.0,52.0,7.0,13.0,10.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,7,3.0,11.0,1.0,0.0,1.0,2.0,0.0,7.0,0.0,12.0,2.0,1.0,0.0,0.0,8.0,4.0,8.0,1.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,4,4.0,14.0,4.0,0.0,14.0,2.0,3.0,8.0,1.0,15.0,3.0,3.0,0.0,0.0,29.0,5.0,3.0,4.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1,6.0,10.0,9.0,0.0,4.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,4.0,5.0,5.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,3,0.0,2.0,3.0,2.0,4.0,0.0,3.0,5.0,1.0,3.0,5.0,3.0,1.0,0.0,6.0,1.0,2.0,1.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,371,618.0,954.0,615.0,89.0,365.0,108.0,533.0,894.0,95.0,626.0,155.0,363.0,218.0,0.0,726.0,593.0,1509.0,653.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,514,259.0,982.0,76.0,225.0,1135.0,209.0,169.0,752.0,94.0,1472.0,435.0,472.0,105.0,0.0,1843.0,214.0,134.0,316.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,2,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,35,13.0,29.0,26.0,1.0,63.0,14.0,14.0,31.0,6.0,58.0,24.0,27.0,7.0,0.0,50.0,17.0,22.0,3.0
18,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",DEM,Jesse Smith                           ,364,607.0,925.0,601.0,94.0,359.0,104.0,528.0,871.0,93.0,609.0,149.0,371.0,219.0,0.0,708.0,584.0,1502.0,637.0
19,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",REP,Mike Rogers                           ,520,264.0,999.0,93.0,220.0,1149.0,210.0,171.0,773.0,92.0,1493.0,437.0,461.0,106.0,0.0,1864.0,221.0,141.0,329.0
20,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",NON,Write-In                              ,1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0
21,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Over Votes                            ,1,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0
22,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Under Votes                           ,36,14.0,37.0,23.0,1.0,58.0,17.0,17.0,32.0,9.0,56.0,26.0,30.0,5.0,0.0,50.0,19.0,22.0,3.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",516,352.0,1136.0,175.0,237.0,1140.0,214.0,184.0,907.0,93.0,1527.0,457.0,476.0,104.0,0.0,1922.0,293.0,246.0,391.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,18,22.0,73.0,20.0,1.0,12.0,1.0,1.0,51.0,3.0,40.0,8.0,10.0,3.0,0.0,48.0,40.0,45.0,21.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,388,517.0,760.0,523.0,77.0,414.0,116.0,531.0,720.0,99.0,597.0,149.0,377.0,223.0,0.0,656.0,493.0,1378.0,561.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,507,350.0,1133.0,168.0,236.0,1133.0,216.0,178.0,903.0,94.0,1530.0,455.0,474.0,106.0,0.0,1910.0,290.0,240.0,389.0
