,Contest Title,Party,Candidate,1ST BAPTIST PELHAM ANNEX,1ST CHRISTIAN CHURCH,1ST PRESBYTERIAN CHURCH,ABSENTEE,ALABASTER LIBERTY BAPTIST,ASBURY UNITED METHODIST,BAY SPRINGS BAPTIST,CAMP BRANCH CIVIC CENTER,CHELSEA CHURCH OF GOD,CHELSEA COMMUNITY CTR_,CHRIST UNITED METHODIST,COLUMBIANA REC_ BUILDING,CONCORD BAPTIST CHURCH,DUNNAVANT COMM_ CTR_,EVANGEL PRESBY_ CHURCH,FAITH PRESBYTERIAN CHURCH,FOURMILE VOL_ FIRE/RESCUE,GREYSTONE FARMS CLUBHOUSE,HARPERSVILLE CITY HALL,HELENA COMMUNITY CENTER,HOOVER FIRE STATION #8,MAYLENE PENTECOSTAL LIGHT,MEADOWBROOK BAPTIST,MONTEVALLO PARKS & REC_,NEW HOPE CUMBERLAND PRSBY,NEW LIFE ASSEMBLY OF GOD,NORTH SHELBY BAPTIST,PEA RIDGE COMMUNITY CTR_,PELHAM CIVIC COMPLEX,PROVISIONAL,RIVERCHASE BAPTIST,RIVERCHASE CHURCH CHRIST,ROY DOWNS MEMORIAL LIBRARY,SHELBY IRON WORKS PARK,SHOAL CREEK TOWN HALL,SILURIA BAPTIST CHURCH,SOUTHCREST BAPTIST CHURCH,SOUTHSIDE BAPTIST CHURCH,SPORTS BLASTSHELBY CO_,THE CHURCH AT BROOKHILLS,TURNER HOLLIS LEGION #195,UN METHODIST ALABASTER,UNDERWOOD BAPTIST CHURCH,UNIVERSITY BAPTIST CHURCH,VALLEYDALE BAPTIST,VANDIVER-STERETT SR_ CTR_,VINCENT REVIVAL CTR_,WILSONVILLE UN_ METHODIST,WILTON BAPTIST
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,4767.0,4315.0,3811.0,0,1115.0,3975.0,1078.0,1461.0,3648.0,2049.0,2966.0,3587.0,5216.0,563.0,5275.0,3098.0,898.0,1798.0,1361.0,10507.0,2663.0,1131.0,4843.0,2855.0,3161.0,3365.0,1014.0,544.0,8728.0,0,3703.0,3262.0,5114.0,1274.0,1361.0,3708.0,3071.0,3625.0,7506.0,5314.0,438.0,3725.0,433.0,1307.0,4042.0,806.0,1709.0,2167.0,456.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,3252.0,2860.0,2642.0,3826,681.0,2765.0,714.0,1033.0,2636.0,1453.0,2141.0,2299.0,3605.0,433.0,3715.0,2223.0,648.0,1237.0,883.0,7372.0,1818.0,769.0,3021.0,1704.0,2261.0,2417.0,705.0,366.0,6022.0,0,2478.0,2362.0,3337.0,881.0,973.0,2609.0,2205.0,2503.0,4559.0,3505.0,314.0,2562.0,279.0,915.0,2982.0,582.0,1117.0,1576.0,302.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,546.0,321.0,331.0,370,366.0,227.0,35.0,67.0,166.0,70.0,168.0,306.0,720.0,12.0,500.0,113.0,15.0,91.0,199.0,851.0,175.0,105.0,381.0,607.0,143.0,167.0,52.0,19.0,675.0,0,437.0,218.0,741.0,63.0,69.0,300.0,191.0,345.0,493.0,428.0,48.0,324.0,13.0,158.0,208.0,22.0,244.0,104.0,82.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,1065.0,1151.0,1030.0,1670,108.0,1203.0,373.0,512.0,1212.0,724.0,932.0,1016.0,1371.0,245.0,1475.0,958.0,346.0,588.0,370.0,2889.0,876.0,338.0,1178.0,422.0,995.0,1131.0,305.0,158.0,2323.0,0,803.0,945.0,1271.0,422.0,440.0,1040.0,901.0,1038.0,1924.0,1504.0,147.0,1014.0,147.0,305.0,1252.0,360.0,484.0,812.0,108.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,1640.0,1388.0,1281.0,1637,207.0,1335.0,306.0,454.0,1258.0,659.0,1041.0,976.0,1514.0,176.0,1738.0,1152.0,286.0,558.0,314.0,3631.0,767.0,326.0,1461.0,673.0,1123.0,1117.0,348.0,189.0,3024.0,0,1238.0,1199.0,1322.0,395.0,464.0,1267.0,1113.0,1120.0,2142.0,1573.0,118.0,1224.0,119.0,452.0,1520.0,200.0,388.0,660.0,111.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,1020.0,694.0,555.0,894,450.0,511.0,74.0,129.0,342.0,158.0,432.0,420.0,1129.0,30.0,900.0,336.0,44.0,217.0,252.0,1698.0,356.0,176.0,812.0,858.0,395.0,335.0,145.0,38.0,1316.0,0,867.0,509.0,1028.0,105.0,166.0,588.0,399.0,591.0,946.0,830.0,57.0,619.0,26.0,301.0,564.0,34.0,307.0,169.0,105.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,1995.0,1969.0,1929.0,2677,210.0,2063.0,625.0,878.0,2168.0,1228.0,1562.0,1779.0,2304.0,386.0,2602.0,1689.0,581.0,950.0,622.0,5234.0,1363.0,569.0,1988.0,715.0,1704.0,1952.0,520.0,308.0,4364.0,0,1449.0,1693.0,2160.0,738.0,755.0,1848.0,1695.0,1798.0,3391.0,2501.0,244.0,1770.0,239.0,558.0,2194.0,539.0,771.0,1385.0,184.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,141.0,96.0,88.0,125,9.0,80.0,10.0,15.0,73.0,32.0,70.0,47.0,101.0,8.0,120.0,86.0,14.0,30.0,1.0,252.0,58.0,14.0,120.0,64.0,81.0,59.0,17.0,8.0,191.0,0,94.0,72.0,85.0,18.0,23.0,104.0,42.0,67.0,115.0,76.0,3.0,88.0,6.0,22.0,92.0,2.0,19.0,13.0,5.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,28.0,12.0,12.0,16,3.0,8.0,2.0,3.0,10.0,6.0,12.0,6.0,15.0,1.0,16.0,10.0,1.0,7.0,1.0,36.0,3.0,4.0,15.0,21.0,11.0,7.0,4.0,2.0,33.0,0,17.0,9.0,17.0,5.0,4.0,10.0,9.0,11.0,17.0,14.0,1.0,26.0,1.0,6.0,16.0,3.0,5.0,1.0,2.0
