,Contest Title,Party,Candidate,ABSENTEE,ALABAMA NATIONAL GUARD,ARGO TOWN HALL,ASHVILLE CITY HALL,BRANCHVILLE CUMBERLAND,CEDAR GROVE BAPTIST,CELEBRATIONS,CHANDLER MT COMM CTR,COOK SPRINGS VFD,FAIRVIEW CHURCH,FRIENDSHIP VFD,GALLANT VFD,GUM SPRINGS CHURCH,MOODY CITY HALL,NEW HOPE BAPTIST,NEW LONDON VFD,NORTH VALLEY CHURCH,ODENVILLE CIVIC CENTER,PELL CITY CIVIC CENTER,PELL CITY COMMUNITY CTR,PINEDALE VFD,POPLAR SPRINGS CHURCH,PRESCOTT COMMUNITY CTR,PROVISIONAL,RAGLAND TOWN HALL,RIVERSIDE TOWN HALL,SHOAL CREEK COMM CTR,SLATE UNION CHURCH,STEELE COMMUNITY CTR,WATTSVILLE VFD,WHITES CHAPEL TOWN HALL,WOLF CREEK VFD
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,1337,3980,2631,1048,1607,1086,1477,170,948,157,1114,141,429,4754,809,856,1990,1662,2695,2385,558,406,756,0.0,954,1092,402,466,578,909,779,347
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,151,201,223,249,79,77,77,11,34,6,56,6,16,461,46,90,339,81,262,480,20,27,32,0.0,108,123,17,18,33,28,94,10
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,698,2034,1271,341,820,515,690,92,540,54,566,68,207,2064,357,400,851,877,1224,852,307,184,402,0.0,322,523,173,242,227,440,379,163
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,4,0,0,0,0.0,1,0,1,1,0,2,0,0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,488,1743,1137,457,708,494,710,67,374,97,492,67,206,2227,406,366,797,703,1207,1049,231,195,322,0.0,523,446,211,205,318,439,306,174
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,266,385,365,319,148,156,153,25,77,7,94,10,22,807,85,141,474,119,425,653,33,41,58,0.0,159,188,36,23,64,60,137,20
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,1030,3455,2176,690,1400,882,1280,136,841,148,988,128,388,3722,701,692,1439,1470,2175,1630,506,357,665,0.0,765,877,354,431,493,818,625,317
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,21,62,50,16,34,26,24,2,14,1,11,2,8,115,11,12,36,40,57,46,9,3,13,0.0,15,10,1,4,15,6,10,4
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,4,14,10,3,6,2,6,1,3,0,4,0,3,22,3,1,2,7,5,15,2,1,2,0.0,2,3,1,0,1,6,0,1
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,12,44,16,6,12,17,8,0,8,0,8,0,3,66,6,5,22,20,23,21,6,1,6,0.0,2,9,4,7,2,5,2,3
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,9,4,9,4,1,1,0,2,1,4,0,2,9,2,4,14,3,1,19,2,1,9,0.0,5,2,4,0,0,13,3,0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,4,11,10,5,3,2,5,6,3,0,5,1,3,13,1,1,3,3,9,1,0,2,3,0.0,6,3,2,1,3,1,2,2
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,288,481,428,348,190,195,200,26,103,13,113,14,46,955,123,165,517,156,471,715,58,51,74,0.0,193,199,57,49,91,92,157,29
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,1018,3424,2158,667,1396,876,1252,141,819,142,981,123,378,3719,679,675,1452,1478,2162,1621,491,352,662,0.0,733,873,332,403,471,801,609,309
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,3,10,7,1,4,2,1,0,2,0,3,0,0,8,1,1,2,6,6,7,1,0,4,0.0,0,3,1,0,0,4,2,0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,5,5,0,0,0,0.0,0,2,0,0,0,3,1,0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,28,63,36,32,16,13,24,3,24,2,17,4,5,71,6,15,16,22,51,37,8,3,16,0.0,28,15,12,14,16,9,10,9
18,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",DEM,Jesse Smith                           ,260,400,391,334,161,176,176,23,89,12,100,14,37,836,105,158,500,138,430,698,51,48,65,0.0,183,186,56,32,81,72,137,27
19,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",REP,Mike Rogers                           ,1042,3502,2191,677,1413,890,1273,140,830,140,992,124,385,3823,691,678,1461,1486,2202,1633,494,350,664,0.0,737,890,328,415,471,818,625,310
20,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",NON,Write-In                              ,0,6,6,0,1,0,1,0,0,0,2,0,0,2,2,0,4,4,7,5,1,0,3,0.0,0,0,1,0,0,0,1,0
21,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,5,0,1,0,0.0,1,1,0,0,1,1,0,1
