,Contest Title,Party,Candidate,ABSENTEE,BELLAMY COMMUNITY CTR_,BOYD TRAILER,COATOPA BEL FIRE DEPT_,CUBA COMMUNITY CENTER,EMELLE SUMT_ TOWN HALL,EPES COMMUNITY CENTER,GAINESVILLE COMMUNITY CTR,GEIGER TOWN HALL,LIVINGSTON CIVIC CENTER,PANOLA TRAILER,PROVISIONAL,WARD COMMUNITY CENTER,WHITFIELD TRAILER,YORK SUMTER RESCUE
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,468.0,250.0,383.0,1235.0,384.0,435.0,554.0,248.0,3050.0,367.0,0,394.0,127.0,2336.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,414,296.0,171.0,247.0,697.0,271.0,298.0,354.0,181.0,1754.0,253.0,7,224.0,76.0,1194.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,288,243.0,107.0,128.0,407.0,165.0,242.0,282.0,132.0,1004.0,216.0,0,148.0,63.0,880.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,31,9.0,16.0,35.0,118.0,35.0,12.0,5.0,12.0,212.0,17.0,0,27.0,3.0,80.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,95,44.0,48.0,84.0,172.0,71.0,44.0,67.0,37.0,536.0,20.0,0,49.0,10.0,234.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,320,266.0,123.0,142.0,460.0,189.0,256.0,319.0,147.0,1119.0,224.0,7,156.0,70.0,948.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,90,26.0,40.0,100.0,228.0,80.0,38.0,27.0,30.0,587.0,27.0,0,66.0,6.0,236.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,1,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,30.0,2.0,0,1.0,0.0,6.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,0,0.0,0.0,2.0
