,Contest Title,Party,Candidate,ABSENTEE,ANTIOCH BAPTIST CHURCH,B_ N_ MABRA CENTER,BEMISTON RECREATION CTR,BERNEYS STATION VFD,BETHEL BAPTIST CHURCH,BON AIR CITY HALL,BRECON REC_ CENTER,COUNTY LINE VFD,EASTABOGA COMM_ CENTER,FAYETTEVILLE VFD,IRONATON VFD,J_ CRAIG SMITH COMM_ CTR,KINGSTON BAPTIST CHURCH,LAY LAKE VOL_ FIRE DEPT,LINCOLN OLD HIGH SCH GYM,MUNFORD OLD HIGH SCH GYM,OAK GROVE CITY HALL,PROVISIONAL,R_ S_ LIMBAUGH COMM_ CTR,RENFROE VFD,SPRING STREET COMM_ CTR,ST_ ANDREWS METHODIST CH,STEMLEY VFD,SYCAMORE NUTRITION CTR,TALLADEGA CO_ CENTRAL HS,WALDO CITY HALL,WINTERBORO VFD
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,3934.0,4948.0,503.0,546.0,1078.0,731.0,2507.0,627.0,1147.0,1020.0,1065.0,9299.0,496.0,770.0,4587.0,2389.0,1888.0,0,4220.0,1405.0,3647.0,1053.0,2048.0,666.0,547.0,594.0,1877.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,1049,2571.0,2253.0,344.0,338.0,622.0,435.0,1371.0,424.0,691.0,731.0,689.0,5620.0,333.0,570.0,2655.0,1473.0,1248.0,42,2629.0,941.0,2140.0,734.0,1302.0,437.0,337.0,375.0,1275.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,233,449.0,1839.0,31.0,188.0,407.0,198.0,610.0,17.0,157.0,99.0,101.0,1656.0,205.0,14.0,615.0,324.0,303.0,17,754.0,196.0,369.0,110.0,301.0,128.0,216.0,52.0,464.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,383,1030.0,172.0,115.0,57.0,75.0,93.0,363.0,250.0,266.0,330.0,262.0,1808.0,55.0,290.0,980.0,484.0,464.0,11,860.0,386.0,799.0,322.0,509.0,155.0,68.0,226.0,411.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,413,1091.0,241.0,198.0,93.0,140.0,132.0,398.0,157.0,268.0,302.0,325.0,2156.0,73.0,266.0,1054.0,665.0,479.0,0,1015.0,359.0,972.0,302.0,491.0,154.0,53.0,97.0,400.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,312,620.0,1928.0,58.0,219.0,462.0,245.0,691.0,29.0,203.0,137.0,127.0,2053.0,235.0,32.0,794.0,415.0,362.0,2,907.0,256.0,500.0,148.0,383.0,160.0,229.0,62.0,552.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,700,1854.0,292.0,271.0,112.0,146.0,167.0,635.0,377.0,476.0,580.0,540.0,3435.0,94.0,521.0,1782.0,1023.0,867.0,11,1643.0,667.0,1580.0,571.0,892.0,272.0,107.0,306.0,693.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,14,53.0,11.0,11.0,3.0,5.0,6.0,17.0,12.0,8.0,10.0,6.0,50.0,0.0,10.0,41.0,18.0,9.0,0,31.0,11.0,32.0,7.0,16.0,4.0,1.0,7.0,18.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,3,13.0,5.0,1.0,0.0,2.0,1.0,8.0,2.0,0.0,1.0,4.0,19.0,0.0,2.0,6.0,5.0,3.0,1,15.0,3.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,5,17.0,6.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,7.0,39.0,4.0,2.0,9.0,6.0,4.0,1,10.0,2.0,10.0,3.0,7.0,0.0,0.0,0.0,7.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,5,6.0,3.0,1.0,3.0,1.0,4.0,16.0,0.0,1.0,0.0,3.0,8.0,0.0,1.0,19.0,0.0,2.0,0,17.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,10,8.0,8.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,16.0,0.0,2.0,4.0,6.0,1.0,0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,335,662.0,1930.0,67.0,214.0,462.0,243.0,706.0,49.0,218.0,154.0,143.0,2092.0,226.0,41.0,840.0,454.0,397.0,3,983.0,277.0,527.0,158.0,407.0,163.0,233.0,71.0,577.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,683,1875.0,302.0,270.0,115.0,154.0,176.0,634.0,368.0,459.0,572.0,535.0,3466.0,102.0,520.0,1748.0,987.0,832.0,11,1611.0,646.0,1581.0,570.0,878.0,272.0,101.0,295.0,683.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,5.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,26,29.0,20.0,6.0,7.0,5.0,6.0,26.0,7.0,13.0,4.0,9.0,54.0,5.0,9.0,61.0,31.0,15.0,0,31.0,16.0,26.0,6.0,17.0,2.0,3.0,9.0,14.0
18,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",DEM,Jesse Smith                           ,317,655.0,1931.0,59.0,220.0,455.0,239.0,704.0,36.0,201.0,137.0,139.0,2010.0,226.0,37.0,814.0,433.0,374.0,1,944.0,258.0,512.0,148.0,401.0,159.0,228.0,75.0,558.0
19,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",REP,Mike Rogers                           ,697,1875.0,303.0,279.0,112.0,158.0,179.0,640.0,381.0,474.0,582.0,542.0,3546.0,104.0,524.0,1783.0,1012.0,852.0,12,1644.0,667.0,1600.0,579.0,883.0,274.0,106.0,295.0,702.0
20,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",NON,Write-In                              ,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,4.0,1.0,3.0,0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
21,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Over Votes                            ,1,4.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
22,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Under Votes                           ,28,36.0,17.0,5.0,4.0,7.0,7.0,22.0,7.0,14.0,11.0,6.0,60.0,3.0,8.0,52.0,27.0,17.0,0,35.0,13.0,24.0,7.0,17.0,3.0,3.0,4.0,13.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",699,1964.0,402.0,275.0,127.0,182.0,203.0,699.0,379.0,478.0,580.0,528.0,3702.0,124.0,520.0,1863.0,1019.0,889.0,14,1768.0,691.0,1635.0,592.0,928.0,297.0,121.0,300.0,759.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,17,40.0,29.0,7.0,9.0,16.0,17.0,38.0,0.0,10.0,7.0,5.0,139.0,6.0,5.0,41.0,28.0,30.0,0,53.0,24.0,26.0,6.0,16.0,7.0,2.0,1.0,25.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,320,566.0,1822.0,62.0,202.0,424.0,203.0,633.0,45.0,203.0,144.0,156.0,1779.0,203.0,45.0,750.0,426.0,329.0,0,808.0,226.0,479.0,136.0,358.0,133.0,214.0,74.0,491.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,699,1940.0,403.0,271.0,122.0,183.0,201.0,692.0,375.0,477.0,576.0,525.0,3674.0,124.0,520.0,1842.0,1011.0,883.0,13,1755.0,689.0,1620.0,588.0,917.0,296.0,119.0,298.0,754.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,17,44.0,26.0,6.0,9.0,10.0,17.0,38.0,1.0,9.0,6.0,5.0,133.0,6.0,3.0,42.0,26.0,30.0,0,52.0,21.0,26.0,8.0,15.0,8.0,3.0,1.0,25.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,320,586.0,1824.0,67.0,207.0,429.0,207.0,641.0,48.0,205.0,149.0,159.0,1813.0,203.0,47.0,771.0,436.0,335.0,0,822.0,231.0,494.0,138.0,370.0,133.0,215.0,76.0,496.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,692,1936.0,398.0,273.0,124.0,181.0,203.0,689.0,379.0,475.0,576.0,523.0,3665.0,123.0,520.0,1846.0,1008.0,881.0,13,1749.0,687.0,1629.0,587.0,912.0,294.0,118.0,294.0,751.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,19,44.0,27.0,6.0,9.0,10.0,15.0,40.0,1.0,10.0,6.0,5.0,133.0,5.0,3.0,41.0,27.0,29.0,0,56.0,21.0,25.0,7.0,15.0,7.0,4.0,3.0,25.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,325,589.0,1828.0,65.0,205.0,431.0,206.0,642.0,44.0,206.0,149.0,161.0,1821.0,205.0,47.0,768.0,438.0,338.0,0,823.0,233.0,486.0,140.0,375.0,136.0,215.0,78.0,499.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,697,1945.0,392.0,276.0,127.0,184.0,206.0,685.0,377.0,482.0,573.0,527.0,3695.0,117.0,517.0,1848.0,1015.0,889.0,13,1753.0,681.0,1616.0,586.0,916.0,294.0,116.0,299.0,758.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,20,45.0,28.0,5.0,11.0,10.0,19.0,44.0,0.0,11.0,7.0,5.0,132.0,6.0,6.0,49.0,29.0,33.0,0,60.0,25.0,33.0,6.0,18.0,5.0,3.0,2.0,26.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,319,581.0,1833.0,63.0,200.0,428.0,198.0,641.0,47.0,198.0,151.0,157.0,1792.0,210.0,47.0,758.0,429.0,326.0,0,816.0,235.0,491.0,142.0,368.0,138.0,218.0,74.0,490.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,DEM,Jarralynne Agee                       ,315,630.0,1926.0,54.0,216.0,451.0,245.0,703.0,35.0,198.0,137.0,142.0,2067.0,231.0,42.0,790.0,421.0,369.0,3,961.0,259.0,511.0,145.0,383.0,154.0,232.0,66.0,562.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,REP,Stephanie Bell                        ,675,1844.0,299.0,269.0,115.0,154.0,167.0,623.0,369.0,465.0,555.0,513.0,3405.0,98.0,506.0,1760.0,978.0,843.0,10,1600.0,645.0,1553.0,569.0,871.0,273.0,99.0,296.0,685.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,NON,Write-In                              ,1,6.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,   ,Over Votes                            ,0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
43,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,   ,Under Votes                           ,51,88.0,24.0,20.0,7.0,17.0,11.0,39.0,19.0,28.0,37.0,33.0,140.0,4.0,22.0,102.0,73.0,34.0,0,64.0,36.0,67.0,19.0,46.0,10.0,6.0,13.0,26.0
44,"DISTRICT ATTORNEY, 29TH JUDICIAL CIRCUIT                ",DEM,Steve Giddens                         ,519,1142.0,2047.0,195.0,259.0,527.0,303.0,942.0,143.0,336.0,323.0,350.0,3390.0,267.0,189.0,1317.0,819.0,711.0,12,1560.0,451.0,1188.0,353.0,672.0,243.0,269.0,126.0,796.0
45,"DISTRICT ATTORNEY, 29TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,17,73.0,9.0,12.0,7.0,3.0,8.0,27.0,13.0,16.0,14.0,24.0,134.0,3.0,11.0,62.0,31.0,26.0,0,59.0,18.0,46.0,21.0,34.0,10.0,1.0,0.0,22.0
46,"DISTRICT ATTORNEY, 29TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
