,Contest Title,Party,Candidate,A/C HOUS AUTH Y&A SERVICE,ABSENTEE 1-40,ABSENTEE 41-56,ALEX CITY FIRE LAKE HILL,ALEX CITY NATIONAL GUARD,COOPER COMMUNITY CENTER,DADEVILLE REC_ CENTER,DAVISTON COMMUNITY CENTER,DUNCAN MEMORIAL COMM_CTR_,EAGLE CREEK VOTING HOUSE,FELLOWSHIP BAPTIST COMM_,HACKNEYVILLE COMMUNITY CT,HILLABEE BAPTIST CHURCH,JACKSONS GAP V_F_D_,MANOY VOTING HOUSE,MARY'S CROSS ROADS V HOUS,MONCRIEF,MT_ LOVELY BAPTIST CHURCH,NEW PACES PT_ V_F_D_,NEW SITE TOWN HALL,OURTOWN V_F_D_,PENTECOST UNITED METH_ CH,PROVISIONAL 1-40,PROVISIONAL 41-56,REELTOWN FIRE DEPT_,ROCKY CREEK BAPTIST CH,SARDIS COMMUNITY BUILDING,TALLASSEE CITY HALL,UNION COMMUNITY BUILDING,WALL STREET COMM_ CENTER
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,767.0,729.0,106.0,928.0,1773.0,1532.0,1473.0,254.0,663.0,259.0,131.0,701.0,632.0,1167.0,835.0,239.0,242.0,795.0,1095.0,626.0,731.0,130.0,0.0,0.0,1058.0,413.0,284.0,670.0,651.0,661.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,356.0,128.0,35.0,81.0,271.0,945.0,538.0,36.0,151.0,24.0,14.0,13.0,27.0,129.0,34.0,105.0,19.0,627.0,70.0,53.0,59.0,21.0,0.0,0.0,96.0,36.0,57.0,55.0,33.0,328.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,158.0,267.0,28.0,296.0,554.0,174.0,320.0,70.0,159.0,111.0,55.0,273.0,205.0,403.0,361.0,52.0,78.0,44.0,441.0,195.0,278.0,59.0,0.0,0.0,384.0,147.0,73.0,268.0,303.0,141.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,253.0,334.0,43.0,551.0,944.0,412.0,614.0,148.0,353.0,123.0,62.0,415.0,400.0,635.0,440.0,82.0,145.0,124.0,584.0,378.0,393.0,50.0,0.0,0.0,578.0,230.0,154.0,347.0,315.0,192.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,417.0,188.0,36.0,128.0,364.0,1067.0,650.0,48.0,177.0,34.0,20.0,35.0,42.0,199.0,86.0,132.0,30.0,704.0,164.0,73.0,88.0,26.0,24.0,0.0,124.0,44.0,89.0,98.0,62.0,370.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,345.0,512.0,67.0,776.0,1345.0,429.0,789.0,197.0,471.0,221.0,104.0,654.0,574.0,929.0,724.0,106.0,205.0,76.0,891.0,542.0,619.0,99.0,48.0,0.0,906.0,360.0,187.0,554.0,580.0,284.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,3.0,12.0,3.0,9.0,24.0,18.0,15.0,4.0,5.0,0.0,4.0,7.0,8.0,23.0,9.0,0.0,1.0,7.0,20.0,5.0,6.0,5.0,1.0,0.0,15.0,4.0,5.0,11.0,6.0,3.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1.0,3.0,0.0,6.0,8.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
