,Contest Title,Party,Candidate,ABERNANT BAPT CH,ABSENTEE,ALBERTA BAPTIST CH,BELK ACTIVITY CENTER,BIG SANDY BAPTIST,BOBBY MILLER ACTIVITY,BUHL VFD STATION,CARROLLS CREEK BAPT,CHAPEL HILL BAPT,CHURCH OF THE HIGHLANDS,COALING TOWN HALL,COKER FIRE DEPT_,COMM CH COTTONDALE,CORNERSTONE BAPT CH,COTTONDALE METH CH,COUNTY ROAD CAMP #3,DUNCANVILLE MIDDLE SCHOOL,ECHOLA VFD,ELROD VFD STATION,FLATWOODS BAPT,FOREST LAKE METH,FOSTERS FIRE DEPT_,G G HARDIN COMM CENTER,HAGLER COMMUNITY CENTER,HOLT ELEMENTARY,KELLERMAN ANTIOCH BAPT,LAKEVIEW BAPT CH,MARY PHELPS CENTER,MAYFIELD FIRE,MCABEE CENTER,MCDONALD HUGHES CC,MONTGOMERY FIRE DEPT_,MOUNT OLIVE BAPTIST CH,MOUNT PILGRIM BAPTIST CH,NEW ZION MISSIONARY CH,NORTHPORT CITY HALL,NORTHPORT COM CENTER,NORTHSIDE LIONS CLUB,OLD REX APPLIANCE BLDG_,PETERSON COMMUNITY CH,PROVISIONAL,RALPH FIRE DEPT_,ROMULUS FIRE DEPT_,SHERIFF'S FIRING RANGE,STATION 2 CARROLLS CREEK,STILLMAN COLL HAYS CTR,TANNEHILL VLY BAPT,TUSCAL CRTHOUSE ANNEX,U OF A STUDENT REC/CTR_,UNITY BAPT,UNIVERSITY MALL,VANCE TOWN HALL,VESTAVIA HILLS ELEM,WHITSON CHURCH OF CHRIST,WINDHAM SPRINGS BAPT,YELLOW CREEK BAPTIST CH
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,1251.0,0,4964.0,7575.0,3778.0,9110.0,550.0,3981.0,2906.0,5802.0,2307.0,972.0,2323.0,2296.0,1553.0,735.0,2746.0,373.0,392.0,2895.0,1382.0,1440.0,1862.0,315.0,2805.0,257.0,3424.0,4991.0,134.0,3075.0,3391.0,1137.0,1522.0,4473.0,1523.0,4709.0,3064.0,1127.0,3501.0,1003.0,0,785.0,438.0,379.0,1293.0,5413.0,2194.0,3063.0,7045.0,608.0,3217.0,1732.0,3707.0,53.0,257.0,806.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,820.0,2853,2747.0,4384.0,2677.0,5413.0,386.0,2937.0,2025.0,3811.0,1537.0,712.0,1441.0,1068.0,1018.0,524.0,1829.0,266.0,254.0,2010.0,659.0,1030.0,1255.0,237.0,1490.0,165.0,2326.0,3408.0,99.0,1946.0,1988.0,808.0,1119.0,2332.0,849.0,3280.0,1780.0,748.0,2048.0,663.0,34,588.0,309.0,237.0,983.0,2617.0,1681.0,1083.0,2169.0,393.0,1804.0,1186.0,2247.0,39.0,188.0,587.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,48.0,627,1278.0,1782.0,752.0,1406.0,17.0,144.0,191.0,431.0,142.0,34.0,265.0,770.0,149.0,54.0,262.0,10.0,16.0,398.0,106.0,315.0,75.0,6.0,810.0,6.0,129.0,338.0,3.0,638.0,1734.0,34.0,62.0,1196.0,499.0,560.0,593.0,33.0,1287.0,63.0,8,135.0,41.0,6.0,70.0,2081.0,134.0,168.0,425.0,256.0,462.0,93.0,289.0,0.0,10.0,25.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,450.0,932,449.0,831.0,734.0,1404.0,178.0,1344.0,801.0,1158.0,669.0,360.0,502.0,75.0,431.0,240.0,665.0,140.0,141.0,697.0,163.0,300.0,601.0,121.0,221.0,100.0,1194.0,1101.0,39.0,433.0,22.0,404.0,542.0,303.0,113.0,1082.0,385.0,391.0,177.0,303.0,10,225.0,125.0,141.0,431.0,49.0,860.0,254.0,710.0,50.0,434.0,516.0,717.0,28.0,108.0,309.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0.0,0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,322.0,1234,1020.0,1769.0,1190.0,2603.0,191.0,1449.0,1030.0,2222.0,724.0,318.0,674.0,223.0,438.0,230.0,902.0,116.0,97.0,915.0,390.0,414.0,579.0,110.0,459.0,59.0,1002.0,1969.0,57.0,875.0,232.0,370.0,515.0,833.0,236.0,1637.0,799.0,324.0,584.0,296.0,11,228.0,143.0,90.0,482.0,486.0,687.0,661.0,1034.0,87.0,907.0,577.0,1241.0,11.0,70.0,253.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,80.0,1108,1742.0,2593.0,1061.0,2175.0,28.0,324.0,318.0,1103.0,227.0,59.0,403.0,898.0,238.0,94.0,365.0,25.0,22.0,600.0,254.0,401.0,132.0,16.0,1025.0,8.0,218.0,861.0,8.0,1015.0,1926.0,62.0,119.0,1659.0,616.0,922.0,881.0,59.0,1650.0,87.0,11,178.0,54.0,12.0,144.0,2458.0,207.0,476.0,871.0,299.0,821.0,166.0,613.0,1.0,15.0,54.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,719.0,1603,852.0,1621.0,1531.0,3069.0,351.0,2507.0,1628.0,2460.0,1267.0,635.0,967.0,128.0,754.0,413.0,1397.0,237.0,227.0,1336.0,321.0,589.0,1077.0,218.0,398.0,146.0,2032.0,2302.0,88.0,831.0,41.0,730.0,960.0,564.0,206.0,2215.0,815.0,663.0,341.0,554.0,21,391.0,253.0,222.0,814.0,91.0,1430.0,496.0,1088.0,88.0,851.0,981.0,1483.0,36.0,171.0,514.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,13.0,62,82.0,96.0,41.0,87.0,2.0,52.0,35.0,119.0,20.0,11.0,32.0,31.0,15.0,9.0,34.0,2.0,0.0,46.0,56.0,17.0,27.0,1.0,41.0,6.0,47.0,114.0,1.0,47.0,10.0,11.0,20.0,53.0,11.0,77.0,35.0,14.0,26.0,14.0,2,9.0,1.0,1.0,11.0,32.0,24.0,68.0,131.0,2.0,65.0,24.0,75.0,1.0,1.0,9.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,0.0,11,26.0,16.0,14.0,27.0,0.0,10.0,5.0,17.0,3.0,1.0,8.0,6.0,1.0,3.0,11.0,0.0,1.0,5.0,7.0,8.0,4.0,0.0,8.0,1.0,5.0,12.0,0.0,17.0,3.0,2.0,3.0,20.0,2.0,11.0,13.0,2.0,8.0,3.0,0,5.0,0.0,0.0,1.0,6.0,6.0,10.0,25.0,1.0,17.0,5.0,14.0,1.0,0.0,5.0
