,Contest Title,Party,Candidate,ABSENTEE,CHARITY CHAPEL FIRE HOUSE,CHATOM COURTHOUSE,COPELAND ASSEMBLY OF GOD,DEER PARK,FAIRFORD FIRE HOUSE,FRANKVILLE FIRE HOUSE,FRUITDALE FIRE HOUSE,HOBSON FIRE HOUSE,LATON HILL FIRE HOUSE,LEROY FIRE HOUSE,MALCOM CENTER,McINTOSH COMMUNITY,MILLRY FIRE HOUSE,MOWA CHOCTAW COMM_ CTR_,PROVISIONAL,RED CREEK FIRE HOUSE,ST_ STEPHENS FIRE HOUSE,TIBBIE FIRE HOUSE,WAGARVILLE FIRE HOUSE,YARBO FIRE HOUSE
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,335,234.0,775.0,304.0,591.0,380.0,353.0,419.0,219.0,286.0,605.0,254.0,505.0,733.0,605.0,0.0,342.0,378.0,402.0,517.0,353.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,44,7.0,117.0,1.0,178.0,87.0,112.0,39.0,6.0,13.0,135.0,150.0,393.0,218.0,173.0,0.0,9.0,99.0,11.0,145.0,52.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,82,95.0,146.0,79.0,177.0,92.0,66.0,117.0,53.0,84.0,151.0,59.0,27.0,124.0,82.0,0.0,63.0,90.0,102.0,127.0,52.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,207,132.0,512.0,224.0,236.0,201.0,175.0,263.0,160.0,189.0,318.0,45.0,85.0,391.0,350.0,0.0,270.0,189.0,289.0,245.0,249.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,68,7.0,170.0,3.0,186.0,113.0,110.0,49.0,17.0,13.0,170.0,160.0,437.0,248.0,228.0,0.0,16.0,108.0,30.0,164.0,69.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,264,219.0,588.0,297.0,392.0,259.0,232.0,362.0,197.0,266.0,425.0,90.0,60.0,477.0,328.0,0.0,321.0,268.0,364.0,346.0,276.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,4,6.0,11.0,2.0,5.0,6.0,0.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,11.0,0.0,0.0,1.0,3.0,4.0,3.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,4.0,1.0,1.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1,1.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,3.0,4.0,0.0,5.0,2.0,5.0,0.0,4.0,0.0,0.0,2.0,1.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,2,1.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,62,16.0,177.0,11.0,195.0,115.0,116.0,57.0,21.0,26.0,170.0,160.0,440.0,249.0,230.0,0.0,21.0,107.0,39.0,164.0,79.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,268,206.0,577.0,269.0,379.0,256.0,227.0,341.0,190.0,251.0,415.0,86.0,62.0,454.0,336.0,0.0,288.0,265.0,352.0,337.0,260.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,10,12.0,20.0,24.0,17.0,9.0,9.0,21.0,8.0,9.0,19.0,8.0,3.0,29.0,37.0,0.0,33.0,5.0,11.0,16.0,14.0
18,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",REP,Bradley Byrne                         ,262,202.0,561.0,238.0,382.0,257.0,208.0,309.0,181.0,241.0,428.0,98.0,101.0,443.0,370.0,0.0,240.0,249.0,322.0,335.0,250.0
19,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",NON,Write-In                              ,4,2.0,6.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,5.0,9.0,9.0,0.0,0.0,4.0,1.0,4.0,5.0
20,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",   ,Under Votes                           ,75,30.0,208.0,62.0,206.0,120.0,142.0,106.0,36.0,44.0,174.0,153.0,399.0,281.0,226.0,0.0,102.0,125.0,79.0,178.0,98.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",245,185.0,533.0,224.0,372.0,236.0,193.0,294.0,178.0,224.0,399.0,92.0,97.0,403.0,343.0,0.0,209.0,239.0,293.0,309.0,214.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,3,1.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,6.0,10.0,11.0,0.0,1.0,3.0,1.0,2.0,5.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,93,48.0,239.0,79.0,218.0,142.0,158.0,123.0,41.0,62.0,204.0,158.0,402.0,320.0,251.0,0.0,132.0,136.0,108.0,206.0,134.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,245,182.0,526.0,224.0,368.0,235.0,200.0,292.0,175.0,221.0,397.0,93.0,96.0,403.0,331.0,0.0,204.0,238.0,294.0,314.0,218.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,4,1.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,4.0,9.0,12.0,0.0,0.0,3.0,1.0,2.0,4.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,92,51.0,247.0,79.0,220.0,143.0,150.0,125.0,44.0,65.0,206.0,158.0,405.0,321.0,262.0,0.0,138.0,137.0,107.0,201.0,131.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,243,185.0,517.0,226.0,371.0,231.0,193.0,295.0,174.0,222.0,392.0,92.0,97.0,396.0,332.0,0.0,204.0,240.0,292.0,308.0,220.0
