,Contest Title,Party,Candidate,ABSENTEE,ARLINGTON COMMUNITY CENTER,CLIFTON VOC_ BUILDING DIST 4,CLIFTON VOC_ BUILDING DIST 5,COY PUBLIC SCHOOL HOUSE,FAITH FELLOWSHIP,FURMAN TATES CHAPEL DIST 1,FURMAN TATES CHAPEL DIST 2,G_W_ WATTS,GEE'S BEND FERRY TERMINAL,GROCERY STORE,HWY 10/28 DIST 1,HWY 10/28 DIST 2,LOWER PEACHTREE DIST 5,LOWER PEACHTREE DIST 6,MILLER FERRY RIVERVIEW CHURCH,NATIONAL GUARD BRIDGEPORT,NATL GUARD ARMORY CAMDEN,PINE APPLE/AWIN DIST 1,PINE APPLE/AWIN DIST 2,PINE HILL CITY HALL,PINE HILL MIDDLE SCHOOL,PORTABLE BUILDING,PRAIRIE BLUFF CATHERINE,PROVISIONAL,SE CAMDEN COURTHOUSE DIST 2,SE CAMDEN COURTHOUSE DIST 3,SEDAN PORT_ BLDG HWY 41,ST PAUL AME CHURCH DIST 1,ST PAUL AME CHURCH DIST 2,SUNNY SOUTH VOTING BOOTH,WHISKEY RUN DIST 3,WHISKEY RUN DIST 5,YE OLDE SHOPPE DIST 1,YE OLDE SHOPPE DIST 2,YELLOW BLUFF CITY HALL
0,REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,0,1400.0,300.0,1100.0,1400.0,1800.0,400.0,0.0,500.0,1100.0,0.0,0.0,0.0,1100.0,0.0,700.0,0.0,1200.0,1000.0,0.0,3300.0,1400.0,1000.0,1200.0,,1400.0,0.0,600.0,300.0,0.0,900.0,1600.0,0.0,0.0,0.0,1200.0
1,BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,345,189.0,127.0,103.0,237.0,340.0,71.0,30.0,80.0,211.0,199.0,105.0,237.0,120.0,116.0,153.0,155.0,531.0,51.0,99.0,549.0,159.0,158.0,240.0,0.0,300.0,46.0,74.0,51.0,39.0,198.0,488.0,19.0,23.0,71.0,103.0
2,STRAIGHT PARTY                                          ,DEM,Alabama Democratic Party              ,169,81.0,118.0,71.0,152.0,288.0,48.0,19.0,60.0,171.0,127.0,50.0,191.0,100.0,109.0,11.0,35.0,105.0,26.0,33.0,145.0,95.0,144.0,179.0,0.0,183.0,20.0,26.0,41.0,38.0,114.0,428.0,3.0,15.0,57.0,61.0
3,STRAIGHT PARTY                                          ,REP,Alabama Republican Party              ,35,34.0,0.0,1.0,17.0,1.0,11.0,2.0,5.0,7.0,7.0,21.0,13.0,1.0,1.0,45.0,34.0,107.0,7.0,25.0,130.0,10.0,1.0,23.0,0.0,32.0,8.0,19.0,2.0,0.0,37.0,9.0,3.0,2.0,4.0,2.0
4,STRAIGHT PARTY                                          ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,STRAIGHT PARTY                                          ,   ,Under Votes                           ,276,74.0,9.0,31.0,68.0,51.0,12.0,9.0,15.0,33.0,65.0,34.0,32.0,19.0,6.0,97.0,86.0,318.0,18.0,41.0,274.0,54.0,13.0,38.0,0.0,84.0,18.0,29.0,8.0,1.0,47.0,51.0,13.0,6.0,10.0,40.0
6,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,DEM,Hillary Rodham Clinton                ,393,116.0,123.0,102.0,189.0,332.0,50.0,27.0,69.0,192.0,151.0,54.0,207.0,119.0,115.0,20.0,46.0,142.0,29.0,36.0,229.0,141.0,158.0,184.0,0.0,202.0,21.0,28.0,45.0,38.0,133.0,458.0,6.0,16.0,60.0,98.0
7,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,REP,Donald J. Trump                       ,82,71.0,3.0,0.0,46.0,3.0,21.0,3.0,11.0,17.0,46.0,51.0,28.0,0.0,1.0,130.0,107.0,376.0,22.0,60.0,308.0,16.0,0.0,53.0,0.0,91.0,24.0,44.0,6.0,1.0,63.0,21.0,13.0,6.0,8.0,5.0
8,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Gary Johnson                          ,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,IND,Jill Stein                            ,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
